kata,mean,std,raw_ratings
semakin,1.6,1.0,"[1, 0, 3, 1, 2, 2, 0, 2, 3, 2]"
ringan kepala,1.6,1.0,"[1, 2, 2, 1, -1, 4, 4, 1, 1, 1]"
karib,3.2,1.0,"[2, 4, 1, 4, 2, 3, 4, 4, 4, 4]"
mksh,1.6,1.0,"[2, 0, 2, 1, 2, 2, 3, 0, 2, 2]"
perlawanan,0.8,1.0,"[-1, 3, 0, 1, 0, 1, 2, 2, 0, 0]"
penting,2.4,1.0,"[0, 3, 2, 3, 3, 4, 1, 3, 1, 4]"
berpandangan,0.8,1.0,"[0, 0, 1, 0, 1, 0, 1, 3, 1, 1]"
garis besar,1.6,1.0,"[2, 1, 1, 2, 3, 0, 3, 1, 2, 1]"
beranak-pinak,1.6,1.0,"[0, 1, 2, 2, 1, 2, 3, 2, 0, 3]"
fair,2.4,1.0,"[1, 3, 4, 0, 4, 2, 1, 3, 4, 2]"
berarti,0.8,1.0,"[2, 1, -1, 1, 0, 1, 0, 3, -1, 2]"
asli,1.6,1.0,"[2, -2, 2, 3, 2, 4, 2, 2, 0, 1]"
kerja keras,2.4,1.0,"[2, 1, 2, 3, 2, 3, 2, 2, 3, 4]"
natural,0.8,1.0,"[1, 1, 2, 1, 0, 1, 1, 0, 0, 1]"
bersimpati,3.2,1.0,"[4, 4, 2, 4, 2, 4, 4, 2, 4, 2]"
tulus,3.2,1.0,"[4, 3, 2, 4, 3, 2, 3, 4, 4, 3]"
otak encer,1.6,1.0,"[3, 1, 3, 0, 1, 2, 4, -1, 2, 1]"
menyuplai,1.6,1.0,"[3, 1, 1, 3, 3, 1, 2, 1, -1, 2]"
refleksi,2.4,1.0,"[4, 1, 2, 1, 4, 2, 3, 1, 3, 3]"
menemukan,1.6,1.0,"[1, 1, 2, 3, 1, 0, 2, 3, 2, 1]"
perjuangin,2.4,1.0,"[2, 1, 4, 2, 3, 2, 3, 2, 3, 2]"
berpendidikan,2.4,1.0,"[4, 3, 2, 4, -1, 2, 3, 3, 2, 2]"
syukuri,2.4,1.0,"[4, 4, 2, 2, 1, 4, 3, 1, 4, -1]"
talen,1.6,1.0,"[1, 2, 1, 1, 3, 1, 2, 1, 1, 3]"
pertahankan,0.8,1.0,"[0, 2, 1, 1, 1, 1, 2, 1, 0, -1]"
kecakapan,1.6,1.0,"[2, 1, 2, 1, 1, 2, 3, 1, 1, 2]"
dede,0.8,1.0,"[0, 0, -1, 0, 2, 1, 2, 1, 1, 2]"
bermutu,2.4,1.0,"[3, 3, 3, 3, 1, 2, 3, 1, 2, 3]"
kebangkitan,1.6,1.0,"[1, 1, 1, 3, 3, 1, 1, 1, 2, 2]"
lancarkan,2.4,1.0,"[3, 3, 0, 2, 4, 2, 4, 2, 3, 1]"
berhajat,1.6,1.0,"[1, 2, 2, 2, 0, 2, 3, 3, 1, 0]"
nabi,1.6,1.0,"[2, 1, 3, 2, 1, 2, 3, 1, 1, 0]"
kualifikasi,1.6,1.0,"[1, 1, 2, 0, 3, 0, 4, 3, 2, 0]"
luar biasa,3.2,1.0,"[3, 4, 2, 4, 3, 3, 3, 3, 4, 3]"
intim,1.6,1.0,"[0, 3, 2, 1, 1, 2, 0, 1, 2, 4]"
peka,1.6,1.0,"[0, 2, 3, 0, 1, 2, 3, 1, 2, 2]"
awet,3.2,1.0,"[2, 4, 4, 4, 4, 3, 3, 2, 4, 2]"
sahabatku,2.4,1.0,"[3, 3, 2, 2, 2, 2, 2, 3, 2, 3]"
berbudi pekerti yang baik,2.4,1.0,"[3, 2, 2, 3, 3, 2, 2, 2, 3, 2]"
ramaikan,2.4,1.0,"[4, 4, 4, 1, 0, 2, 3, 2, 2, 2]"
reka,0.8,1.0,"[0, 2, 0, 1, 1, 0, 2, 0, 1, 1]"
bantu,2.4,1.0,"[3, 3, 3, 2, 1, 1, 4, 2, 3, 2]"
sensitif,0.8,1.0,"[1, 1, 0, 1, 1, 1, 0, 1, 1, 1]"
bermanfaat,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
gede,1.6,1.0,"[1, 2, 3, 1, 1, 2, 0, 2, 2, 2]"
bijaksana,0.8,1.0,"[2, 1, -1, 1, 1, 0, 2, 1, 1, 0]"
berharga,2.4,1.0,"[0, 2, 4, 4, 3, 4, 1, 2, 3, 1]"
congrats,2.4,1.0,"[0, 1, 3, 2, 3, 3, 3, 3, 3, 3]"
aliansi,0.8,1.0,"[3, 1, 0, 1, 0, 2, 2, 0, -1, 0]"
cadangan,1.6,1.0,"[2, 1, 2, 1, 1, 2, 1, 1, 2, 3]"
kapabilitas,2.4,1.0,"[2, 4, 2, 3, 1, 4, 4, 0, 2, 2]"
bangsawan,1.6,1.0,"[1, 2, 2, 4, 1, 0, 1, 3, 2, 0]"
kekal,2.4,1.0,"[1, 2, 3, 2, 0, 3, 4, 3, 3, 3]"
nikah,1.6,1.0,"[3, 0, 2, 2, 3, 2, -1, 2, 0, 3]"
akrab,2.4,1.0,"[2, 2, 2, 3, 2, 2, 3, 1, 3, 4]"
kagum,2.4,1.0,"[1, 3, 3, 3, 3, 3, 1, 2, 2, 3]"
becus,0.8,1.0,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 1]"
soleha,2.4,1.0,"[3, 2, 0, 4, 3, 3, 3, 1, 2, 3]"
tercengang,0.8,1.0,"[0, 2, 0, 2, 2, 1, 2, 0, -1, 0]"
mengingatkan,2.4,1.0,"[1, 3, 4, 2, 2, 2, 3, 2, 3, 2]"
gws,1.6,1.0,"[1, 2, 2, 1, 1, 2, 2, 1, 2, 2]"
diajak,0.8,1.0,"[1, 2, 1, 2, -2, 2, 0, 0, 0, 2]"
memfasilitasi,1.6,1.0,"[2, 2, 3, 2, 1, 0, 1, 2, 0, 3]"
mempersiapkan,0.8,1.0,"[2, 0, 2, 0, 1, 0, 2, 0, 1, 0]"
girang,2.4,1.0,"[3, 2, 3, 2, 3, 3, 3, 1, 2, 2]"
imam,0.8,1.0,"[1, 1, 0, 0, 0, 1, 3, 1, 1, 0]"
terpesona,3.2,1.0,"[4, 4, 2, 3, 4, 4, 3, 1, 4, 3]"
disayang,2.4,1.0,"[2, 1, 3, 3, 3, 1, 2, 4, 3, 2]"
mampu,1.6,1.0,"[3, 3, 1, -1, 2, 2, 1, 2, 1, 2]"
ngelupain,0.8,1.0,"[0, 2, 0, 0, 1, -1, 2, 2, 2, 0]"
upaya,0.8,1.0,"[-2, 0, 2, 2, 1, 1, 1, 0, 2, 1]"
bernilai,1.6,1.0,"[2, 3, 1, 1, 2, 4, 0, 1, 0, 2]"
usaha,0.8,1.0,"[2, 0, 1, 1, 1, 0, 1, 0, 2, 0]"
harmonis,2.4,1.0,"[1, 3, 2, 3, 3, 2, 2, 3, 4, 1]"
cerdik,1.6,1.0,"[1, 0, 1, 1, 4, 2, 3, 0, 2, 2]"
takjub,3.2,1.0,"[3, 3, 2, 4, 4, 4, 3, 2, 4, 3]"
menyiapkan,0.8,1.0,"[2, 1, 1, 1, 1, 0, 1, 1, -1, 1]"
mengasihi,1.6,1.0,"[1, 1, 1, 3, 2, 2, 3, 2, 0, 1]"
terpana,0.8,1.0,"[2, 1, 0, 2, 1, 1, 1, 0, 1, -1]"
sunyi,0.8,1.0,"[1, 2, 1, 1, -1, 1, 2, 1, 0, 0]"
penyeragaman,0.8,1.0,"[1, 2, -1, 0, 0, -1, 0, 2, 2, 3]"
mengucil,0.8,1.0,"[1, 1, 1, 0, 1, 2, 3, 0, 1, -2]"
segenap,1.6,1.0,"[2, 2, 2, 3, 1, 2, 2, 0, 1, 1]"
persiapan,1.6,1.0,"[0, 1, 3, 1, 1, 3, 2, 1, 2, 2]"
cendekia,2.4,1.0,"[2, 3, 4, 3, 2, 4, 2, 1, 1, 2]"
permata,2.4,1.0,"[2, 3, 2, 1, 2, 3, 4, 2, 4, 1]"
natal,0.8,1.0,"[-1, 2, 1, 2, 1, 0, 1, 2, 0, 0]"
terpukau,1.6,1.0,"[1, 1, 2, 2, 0, 2, 2, 2, 2, 2]"
naik ke pelaminan,2.4,1.0,"[4, 2, 2, 3, 0, 3, 3, 3, 2, 2]"
gembira,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
pelajar,0.8,1.0,"[0, 2, 1, 0, 0, 1, 0, 0, 2, 2]"
bertanya,1.6,1.0,"[4, 2, 1, 0, 2, 2, 2, -1, 2, 2]"
meminati,2.4,1.0,"[3, 3, 2, 3, 2, 3, 2, 3, 2, 1]"
ngurusin,1.6,1.0,"[2, 3, 2, 0, 2, 1, 2, 2, 1, 1]"
terkesima,3.2,1.0,"[4, 2, 4, 2, 4, 4, 4, 3, 2, 3]"
mencurigai,0.8,1.0,"[1, -2, 2, 1, 2, 2, 0, 1, 1, 0]"
show,1.6,1.0,"[1, 0, 0, 2, 1, 3, 2, 3, 1, 3]"
inteligen,0.8,1.0,"[2, 1, 0, 1, 0, 1, -1, 1, 1, 2]"
rajin,3.2,1.0,"[4, 3, 2, 3, 3, 4, 3, 4, 2, 4]"
hijau,2.4,1.0,"[2, 3, 2, 2, 2, 3, 3, 4, 3, 0]"
tajam otak,3.2,1.0,"[3, 3, 4, 2, 4, 4, 3, 2, 4, 3]"
empuk,2.4,1.0,"[3, 4, 0, 4, 1, 2, 2, 3, 3, 2]"
berjaga-jaga,0.8,1.0,"[1, 2, 2, -2, 1, 0, 1, 1, 1, 1]"
personalitas,0.8,1.0,"[0, 0, 0, 1, -1, 1, 2, 1, 2, 2]"
diam,0.8,1.0,"[-1, 1, 0, 2, 1, 3, 0, 1, 0, 1]"
perataan,1.6,1.0,"[0, 1, 2, 3, 3, 3, 2, 1, 0, 1]"
persediaan,2.4,1.0,"[2, 1, 1, 1, 2, 3, 4, 3, 3, 4]"
kesediaan,0.8,1.0,"[0, 2, -1, 2, 0, 1, 2, 0, 0, 2]"
cium,2.4,1.0,"[2, 2, 2, 3, 3, 2, 1, 2, 3, 4]"
qadim,2.4,1.0,"[3, 1, 3, 3, 3, 3, 2, 2, 3, 1]"
fine,2.4,1.0,"[2, 3, 1, 2, 2, 3, 3, 2, 3, 3]"
terbuka,2.4,1.0,"[1, 4, 1, 2, 3, 3, 2, 3, 3, 2]"
alamiah,1.6,1.0,"[2, 1, 3, 1, 1, 2, 2, 3, -1, 2]"
pemenang,2.4,1.0,"[3, 3, 3, 1, 1, 3, 4, 2, 2, 2]"
menyukai,3.2,1.0,"[1, 4, 3, 4, 3, 4, 3, 3, 3, 4]"
terselenggaranya,2.4,1.0,"[2, 2, 4, 3, 1, 1, 2, 3, 3, 3]"
dengar,1.6,1.0,"[3, 2, 1, 2, 2, 1, 0, 2, 0, 3]"
cintamu,2.4,1.0,"[1, 2, 4, 2, 3, 4, 2, 3, 2, 1]"
berpengetahuan,3.2,1.0,"[4, 1, 4, 4, 1, 4, 3, 4, 3, 4]"
tablig,0.8,1.0,"[1, -1, -1, 3, 1, 2, 3, 0, 1, -1]"
bersiap,0.8,1.0,"[0, 0, 2, 2, 2, 1, 1, 0, -2, 2]"
koordinator,1.6,1.0,"[0, 2, 3, 1, 0, 1, 2, 1, 2, 4]"
sumringah,3.2,1.0,"[4, 4, 4, 2, 4, 4, 4, 1, 3, 2]"
kebolehan,1.6,1.0,"[2, 2, 1, 3, 3, 2, 1, 1, 1, 0]"
berkeluarga,1.6,1.0,"[3, 2, 0, 1, 1, 0, 4, 1, 2, 2]"
santai,1.6,1.0,"[1, 1, 2, -1, 1, 3, 1, 3, 2, 3]"
mencintai,2.4,1.0,"[4, 2, 2, 1, 2, 3, 2, 3, 2, 3]"
kepandaian,3.2,1.0,"[2, 2, 3, 3, 4, 3, 4, 4, 3, 4]"
riang,2.4,1.0,"[0, 3, 2, 3, 2, 3, 1, 3, 4, 3]"
senang,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
menyediakan,1.6,1.0,"[2, 2, 1, 2, 0, 3, 0, 1, 2, 3]"
diamond,2.4,1.0,"[2, 2, 3, 3, 4, 3, 2, 3, 0, 2]"
cool,1.6,1.0,"[2, 1, 2, 2, 3, 2, 0, 1, 1, 2]"
kerjasama,2.4,1.0,"[3, 2, 3, 1, 3, 2, 3, 3, 2, 2]"
perlu,1.6,1.0,"[2, 2, 1, 1, 2, 0, 4, 0, 2, 2]"
sanggup,1.6,1.0,"[1, 2, 2, 2, 3, 2, 1, 2, 0, 1]"
baginda,1.6,1.0,"[0, 2, 2, 2, 1, 3, 1, 1, 1, 3]"
terang akal,2.4,1.0,"[2, 4, 3, 3, 2, 2, 1, 2, 4, 1]"
menyeni,0.8,1.0,"[0, 2, 2, 0, 1, 0, 0, 2, 1, 0]"
smga,0.8,1.0,"[0, 1, 3, 1, 0, 1, 2, 1, -1, 0]"
bersedia,0.8,1.0,"[-1, 0, 2, 1, -1, 1, 2, 1, 2, 1]"
teduh,1.6,1.0,"[3, 2, 2, 1, 2, 2, 2, 2, -1, 1]"
menghidangkan,1.6,1.0,"[1, 2, 2, 2, 2, 3, 4, 1, -2, 1]"
cekatan,1.6,1.0,"[2, 2, 1, 3, 2, 2, 1, 0, 0, 3]"
perak,0.8,1.0,"[2, 0, 1, 0, 1, 0, 2, 0, 0, 2]"
ratna,1.6,1.0,"[-1, 2, 1, 2, 2, 1, 4, 4, 1, 0]"
menaruh hati,2.4,1.0,"[3, 2, 2, 4, 3, 2, 2, 3, 1, 2]"
gombal,1.6,1.0,"[2, 2, 0, 2, 0, 3, 2, 3, 1, 1]"
cantrik,2.4,1.0,"[4, 2, 4, 3, 1, 2, 0, 3, 3, 2]"
berimbuh,0.8,1.0,"[1, 0, 1, 0, 1, 3, 2, 1, 0, -1]"
genius,2.4,1.0,"[4, 2, 3, 3, -1, 2, 4, 3, 3, 1]"
tangkas,1.6,1.0,"[0, 2, 2, 2, 1, 3, 2, 2, 2, 0]"
naikkan,0.8,1.0,"[1, 1, -1, 2, 0, 0, 1, 3, 0, 1]"
taman,0.8,1.0,"[1, 0, 1, 0, 1, 0, 1, 0, 3, 1]"
menyayangi,3.2,1.0,"[4, 3, 2, 3, 4, 2, 3, 4, 4, 3]"
bersemi,2.4,1.0,"[2, 1, 3, 4, 4, 3, 2, 1, 1, 3]"
music,0.8,1.0,"[3, 2, 2, 0, 1, -2, 2, 0, 0, 0]"
keseruan,2.4,1.0,"[1, 2, 4, 1, 3, 2, 1, 2, 4, 4]"
antipati,1.6,1.0,"[1, 3, 0, 3, 0, 1, 1, 2, 3, 2]"
merasuk,1.6,1.0,"[1, 2, 2, 3, 1, 3, 4, -1, 1, 0]"
manfaatnya,2.4,1.0,"[4, 3, 2, 3, 4, 1, 4, 1, 1, 1]"
fitrah,2.4,1.0,"[2, 4, 0, 3, 2, 1, 3, 2, 4, 3]"
memperkuat,2.4,1.0,"[1, 2, 3, 4, 2, 3, 3, 2, 1, 3]"
seindah,2.4,1.0,"[3, 3, 3, 3, 2, 2, 4, 1, 1, 2]"
kecantikan,1.6,1.0,"[2, 1, 4, 2, 1, 0, 2, 1, 2, 1]"
mata pencaharian,1.6,1.0,"[0, 3, 2, 1, 2, 2, 1, 2, 1, 2]"
terkini,2.4,1.0,"[3, 4, 2, 3, 2, 3, 3, 2, 1, 1]"
hamba allah,2.4,1.0,"[3, 2, 4, 2, 1, 1, 2, 3, 4, 2]"
khasiat,3.2,1.0,"[3, 4, 2, 3, 3, 4, 2, 3, 4, 4]"
lafal,1.6,1.0,"[-1, 2, 1, 2, 2, 1, 2, 1, 2, 4]"
rasuk,1.6,1.0,"[3, 1, 1, 3, 1, 2, 2, 2, 1, 0]"
liat,1.6,1.0,"[4, 0, 1, 2, 2, 2, 2, 2, 0, 1]"
hati,1.6,1.0,"[2, 1, 2, 3, 1, 2, 1, -1, 2, 3]"
jihad,2.4,1.0,"[2, 4, 2, 1, 1, 4, 2, 3, 2, 3]"
larut,0.8,1.0,"[2, 0, 1, -1, 3, 1, 0, 2, 0, 0]"
pundi,1.6,1.0,"[2, 2, 1, 0, 3, 2, 1, 2, 1, 2]"
jilbab,2.4,1.0,"[3, 0, 3, 2, 2, 3, 1, 4, 2, 4]"
informasi,1.6,1.0,"[0, 1, 3, 3, 2, 1, 0, 2, 3, 1]"
turun,0.8,1.0,"[1, -1, 3, 0, 1, 0, 0, 1, 2, 1]"
seni,0.8,1.0,"[1, 1, 1, 2, 1, 0, 0, 2, 1, -1]"
selenggara,2.4,1.0,"[1, 3, 1, 3, 4, 2, 2, 3, 1, 4]"
rapat,0.8,1.0,"[1, 1, 2, 1, 0, 2, -1, 1, 0, 1]"
tabung,2.4,1.0,"[3, 3, 2, 3, 1, 2, 2, 2, 2, 4]"
kantong,0.8,1.0,"[0, 2, 1, 1, 0, 1, -2, 2, 3, 0]"
karya,2.4,1.0,"[2, 3, 4, 3, 2, 2, 2, 2, 3, 1]"
keroyok,0.8,1.0,"[1, 3, -1, 1, 2, -1, 0, 1, 1, 1]"
tunjang,2.4,1.0,"[3, 3, 2, 2, 2, 4, 2, 2, 2, 2]"
jempol,3.2,1.0,"[3, 3, 3, 3, 4, 1, 3, 4, 4, 4]"
koordinasi,0.8,1.0,"[2, 1, 1, -1, 1, -1, 1, 2, 1, 1]"
renang,0.8,1.0,"[-2, 1, 1, -1, 1, 2, 1, 1, 2, 2]"
bincang,1.6,1.0,"[3, 3, 1, 1, -1, 1, 3, 1, 2, 2]"
pesona,3.2,1.0,"[4, 1, 4, 4, 3, 4, 3, 4, 2, 3]"
sahut,0.8,1.0,"[2, -1, 0, 0, 3, 1, 0, 2, 0, 1]"
edar,1.6,1.0,"[2, 2, 2, 3, 1, 2, 2, 1, 3, -2]"
dandan,3.2,1.0,"[1, 4, 2, 4, 4, 3, 3, 4, 3, 4]"
mahir,3.2,1.0,"[2, 4, 4, 4, 3, 3, 3, 3, 2, 4]"
pandu,2.4,1.0,"[3, 4, 3, 1, 4, 1, 2, 3, 1, 2]"
ken,2.4,1.0,"[2, 3, 2, 2, 2, 1, 4, 3, 3, 2]"
pikir,0.8,1.0,"[0, 0, 0, 0, 1, 3, 2, 2, 0, 0]"
pindah,0.8,1.0,"[-1, 1, 2, 0, -1, 2, 1, 2, 1, 1]"
pasuk,1.6,1.0,"[2, 0, 3, 2, 2, 1, 2, 1, 1, 2]"
rata,0.8,1.0,"[1, 0, 2, 2, 1, 0, 0, -1, 3, 0]"
naik,0.8,1.0,"[1, 0, 0, 1, 1, 3, 0, 0, 0, 2]"
labuh,2.4,1.0,"[4, 2, 3, 1, 3, -1, 2, 4, 4, 2]"
dapat,1.6,1.0,"[2, 2, 1, 1, 0, 2, 2, 3, 1, 2]"
usik,0.8,1.0,"[1, 2, 1, 0, 1, 0, -1, 1, 2, 1]"
menang,3.2,1.0,"[2, 4, 4, 3, 3, 4, 4, 3, 2, 3]"
guna,0.8,1.0,"[0, 1, -1, 1, 1, 1, 1, 1, 2, 1]"
tanya,1.6,1.0,"[1, 2, 0, 3, 2, 3, 0, 0, 3, 2]"
pukau,1.6,1.0,"[3, 4, 0, 4, 0, 0, 3, 1, 1, 0]"
moga,0.8,1.0,"[0, 1, -1, 1, 2, 2, 1, 1, -1, 2]"
neng,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
longgar,2.4,1.0,"[3, 0, 4, 2, 2, 4, 1, 2, 4, 2]"
zikir,3.2,1.0,"[3, 4, 2, 3, 4, 2, 4, 2, 4, 4]"
baring,1.6,1.0,"[1, 1, 3, 0, 1, 3, 4, 0, 2, 1]"
pati,2.4,1.0,"[2, 1, 3, 4, 1, 3, 1, 3, 4, 2]"
pasti,2.4,1.0,"[4, -1, 4, 3, 4, 3, 3, 1, 1, 2]"
keliru,0.8,1.0,"[2, 1, 0, 4, 1, 0, 0, -1, 0, 1]"
kucup,1.6,1.0,"[2, 4, 3, -1, 1, 0, 1, 2, 3, 1]"
aku,1.6,1.0,"[1, 1, 3, 1, 1, 2, 1, 1, 3, 2]"
bom,0.8,1.0,"[1, 2, 3, 1, 1, 0, 1, 1, -2, 0]"
aib,0.8,1.0,"[-1, 0, 1, 1, 2, -2, 3, 1, 1, 2]"
kerubung,0.8,1.0,"[2, 1, 1, 0, 2, 1, -1, 2, 1, -1]"
bangan,1.6,1.0,"[0, 1, 2, 1, 2, 2, 0, 1, 4, 3]"
bunga,2.4,1.0,"[2, 1, 2, 3, 3, 4, 3, 2, 2, 2]"
boleh,1.6,1.0,"[1, 2, 1, 2, 1, 1, 3, 1, 1, 3]"
imbuh,0.8,1.0,"[1, 0, 1, 2, 0, 1, 2, 2, 0, -1]"
cengang,0.8,1.0,"[1, 0, 1, 1, 0, 2, 0, 2, 1, 0]"
sembahyang,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
syukur,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
cinta,2.4,1.0,"[2, 3, 3, 2, 3, 2, 4, 3, 1, 1]"
jelas,0.8,1.0,"[1, 1, 2, -1, 1, -1, 2, 1, 1, 1]"
tingkat,0.8,1.0,"[2, 0, 1, 2, 0, 1, -1, -1, 3, 1]"
timba ilmu,3.2,1.0,"[3, 4, 4, 1, 4, 4, 2, 2, 4, 4]"
lakon,0.8,1.0,"[0, 0, 0, 0, 1, 2, 1, 2, 1, 1]"
rencana,1.6,1.0,"[1, 0, 1, 3, 2, 1, 2, 2, 2, 2]"
hendak,0.8,1.0,"[1, -1, -1, 2, 2, 1, 0, 2, 0, 2]"
limpah,0.8,1.0,"[1, 1, 0, 3, 0, 0, 0, 2, 0, 1]"
kembang,2.4,1.0,"[4, 2, 2, 3, 2, 3, 0, 2, 4, 2]"
menung,1.6,1.0,"[3, 0, 3, 0, 1, 2, 1, 4, 2, 0]"
tuntut ilmu,3.2,1.0,"[3, 3, 4, 3, 2, 4, 4, 4, 3, 2]"
amuk,0.8,1.0,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 2]"
irama,3.2,1.0,"[3, 2, 4, 3, 4, 3, 2, 4, 4, 3]"
citra,1.6,1.0,"[0, 2, 1, 2, 2, 2, 2, 2, 2, 1]"
darat,0.8,1.0,"[1, 2, 2, 1, -1, 2, 1, 2, 0, -2]"
jatuh,0.8,1.0,"[2, 1, 2, 0, 1, 0, 0, 1, 1, 0]"
sudi,1.6,1.0,"[2, 2, 2, 1, 1, 1, 2, 3, 1, 1]"
muas,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
hangat,3.2,1.0,"[3, 4, 4, 3, 3, 2, 3, 3, 3, 4]"
selaras,2.4,1.0,"[2, 4, 2, 2, 4, 2, 2, 2, 1, 3]"
bangkit,1.6,1.0,"[-1, 3, 1, 2, 2, 2, 2, 1, 0, 4]"
sir,1.6,1.0,"[3, 1, 1, 2, 1, 1, 3, 2, 1, 1]"
banding,2.4,1.0,"[2, 2, 2, 4, 1, 0, 4, 4, 3, 2]"
kuat duga,1.6,1.0,"[1, 2, 0, 1, 2, 2, 2, 2, 2, 2]"
tumpu,0.8,1.0,"[0, 0, 0, 2, 0, 1, 0, 2, 1, 2]"
guru,2.4,1.0,"[1, 2, 4, 2, 0, 2, 2, 4, 4, 3]"
langgan,1.6,1.0,"[3, 3, 1, 0, 2, 2, 2, 2, 0, 1]"
sinkron,0.8,1.0,"[0, 1, 0, 0, 1, 1, 1, 2, 0, 2]"
daftar,0.8,1.0,"[-1, 1, 1, 1, 1, 0, 1, 1, 2, 1]"
jernih suasana,0.8,1.0,"[1, 1, 1, 1, 2, 1, 2, -1, 1, -1]"
lam,2.4,1.0,"[2, 1, 3, 4, 4, 2, 2, 2, 2, 2]"
bawa,0.8,1.0,"[0, -1, 2, 1, 1, 1, 1, 0, 1, 2]"
benar,1.6,1.0,"[4, 4, 1, 2, 1, 1, -1, 0, 2, 2]"
surat takdir,1.6,1.0,"[2, 2, 0, 3, 1, 0, 2, 2, 2, 2]"
prasangka,0.8,1.0,"[1, 0, 0, 0, 2, 0, 2, 1, 1, 1]"
kuntit,0.8,1.0,"[0, -2, 0, 2, 1, 2, 2, 1, 2, 0]"
asosiasi,2.4,1.0,"[4, 2, 3, 4, 2, 2, 3, 1, 1, 2]"
jungkal,0.8,1.0,"[1, 1, 1, 2, 1, 0, 1, 0, 0, 1]"
tegar,1.6,1.0,"[1, 0, 1, 4, 1, 1, 4, 1, 2, 1]"
suguh,1.6,1.0,"[4, 1, 4, 1, 1, 1, 1, 0, 2, 1]"
suasana hati,0.8,1.0,"[2, 0, 1, 0, 0, 1, 0, 2, 2, 0]"
rumah tangga,1.6,1.0,"[2, 0, 3, 3, 3, 1, 1, 1, 1, 1]"
banyak,2.4,1.0,"[2, 3, 1, 3, 2, 0, 3, 3, 4, 3]"
dukung,3.2,1.0,"[4, 3, 2, 3, 4, 2, 3, 4, 3, 4]"
keluarga,3.2,1.0,"[3, 4, 4, 1, 3, 3, 4, 4, 3, 3]"
lengkap,1.6,1.0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 1]"
sedia,1.6,1.0,"[-1, 4, 1, 2, 1, 3, 1, 1, 2, 2]"
teladan,3.2,1.0,"[4, 4, 3, 4, 4, 4, 3, 2, 2, 2]"
inap,1.6,1.0,"[1, 2, 2, 0, 2, 1, 2, 2, 2, 2]"
patut,1.6,1.0,"[2, 1, 3, 1, 1, 3, 1, 1, 2, 1]"
singsing,2.4,1.0,"[2, 3, 1, 4, 2, 1, 3, 4, 2, 2]"
sabar,4.0,1.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
timbun,0.8,1.0,"[1, -1, 1, 2, 0, 3, 0, 0, 1, 1]"
lanjur,0.8,1.0,"[-1, 1, 1, 0, 1, -1, 3, 0, 1, 3]"
lapor,1.6,1.0,"[1, 1, 3, 0, 3, 1, 0, 2, 3, 2]"
proses,0.8,1.0,"[2, 2, 0, 3, 0, 2, 1, 0, -1, -1]"
kuasa,2.4,1.0,"[1, 1, 2, 1, 3, 3, 4, 3, 3, 3]"
simpat,3.2,1.0,"[3, 2, 3, 2, 4, 4, 4, 4, 3, 3]"
teguh hati,2.4,1.0,"[3, 1, 2, 4, 2, 2, 2, 2, 3, 3]"
mata cahari,1.6,1.0,"[2, 0, 3, 1, 1, 2, 4, 0, 2, 1]"
heboh,0.8,1.0,"[2, 3, 0, 0, 0, 1, -1, 3, 0, 0]"
sempurna,2.4,1.0,"[4, 3, 2, 2, 2, 2, 4, 1, 2, 2]"
erti,1.6,1.0,"[2, 2, 2, 2, 1, 1, 2, 0, 1, 3]"
cengkeram,0.8,1.0,"[2, 0, 1, 0, 2, 1, 1, 0, 0, 1]"
luang,1.6,1.0,"[2, 2, 3, 2, 1, 1, 3, 1, 0, 1]"
kirim,1.6,1.0,"[2, 1, 2, 1, 3, 0, 1, 3, 0, 3]"
tukar pikir,2.4,1.0,"[3, 3, 2, 4, 2, 3, 2, 2, 1, 2]"
ringan,1.6,1.0,"[2, 3, 3, 0, 2, 1, 1, 1, 2, 1]"
nyali,3.2,1.0,"[4, 3, 4, 1, 4, 3, 4, 2, 4, 3]"
gapai,2.4,1.0,"[0, 2, 3, 2, 4, 2, 3, 3, 2, 3]"
nyala,1.6,1.0,"[0, 3, 2, 1, 2, 1, 2, 2, 2, 1]"
angkut,0.8,1.0,"[2, 3, 0, 0, 0, 2, 0, 0, -1, 2]"
tanggap,2.4,1.0,"[4, 3, 1, 3, 1, 2, 3, 2, 3, 2]"
aji,3.2,1.0,"[2, 4, 3, 4, 3, 1, 4, 4, 3, 4]"
tanggulang,1.6,1.0,"[4, 2, 2, 3, 1, 0, -1, 2, 2, 1]"
coba,1.6,1.0,"[1, 0, 1, 0, 2, 3, 1, 2, 4, 2]"
