no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
1765,2016-08-27T13:44:06.000Z,Menyambut HUTDPR pada Agustus juga akan diadakan Rapat Paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,menyambut HUTDPR pada agustus juga akan diadakan rapat paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,0.6,0.15,0.5477225575051662,positive,"['menyambut', 'HUTDPR', 'pada', 'agustus', 'juga', 'akan', 'diadakan', 'rapat', 'paripurna', 'DPR', 'RI', 'dengan', 'agenda', 'tunggal', 'laporan', 'kinerja', 'DPR', 'RI', 'HUTDPR']","['menyambut', 'HUTDPR', 'agustus', 'diadakan', 'rapat', 'paripurna', 'DPR', 'RI', 'agenda', 'laporan', 'kinerja', 'DPR', 'RI', 'HUTDPR']","['juga', 'akan', 'dengan', 'tunggal']","['menyambut', 'HUTDPR', 'agustus', 'juga', 'akan', 'diadakan', 'paripurna', 'agenda', 'tunggal', 'laporan', 'kinerja', 'HUTDPR']","[{'word': 'menyambut', 'score': 0.8, 'matched': True}, {'word': 'HUTDPR', 'score': 0.0, 'matched': True}, {'word': 'agustus', 'score': 0.0, 'matched': True}, {'word': 'juga', 'score': 0.0, 'matched': False}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'diadakan', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'agenda', 'score': 0.0, 'matched': True}, {'word': 'tunggal', 'score': 0.0, 'matched': False}, {'word': 'laporan', 'score': 0.0, 'matched': True}, {'word': 'kinerja', 'score': 0.0, 'matched': True}, {'word': 'HUTDPR', 'score': 0.0, 'matched': True}]"
1819,2016-08-24T13:26:15.000Z,Itu undang undang bung bukan peraturan perusahaan Pembuatan UU butuh anggota dpr komisi hukum dan makan wkt lama,itu undang undang bung bukan peraturan perusahaan pembuatan UU butuh anggota dpr komisi hukum dan makan waktu lama,0.0,0.0,0.0,neutral,"['itu', 'undang', 'undang', 'bung', 'bukan', 'peraturan', 'perusahaan', 'pembuatan', 'UU', 'butuh', 'anggota', 'dpr', 'komisi', 'hukum', 'dan', 'makan', 'waktu', 'lama']","['undang', 'undang', 'peraturan', 'perusahaan', 'UU', 'butuh', 'anggota', 'dpr', 'komisi', 'hukum', 'makan', 'waktu', 'lama']","['bung', 'pembuatan', 'dan']","['bung', 'bukan', 'peraturan', 'perusahaan', 'pembuatan', 'UU', 'butuh', 'hukum', 'makan', 'waktu', 'lama']","[{'word': 'bung', 'score': 0.0, 'matched': False}, {'word': 'bukan', 'score': -2.4000000000000004, 'matched': True}, {'word': 'peraturan', 'score': 0.0, 'matched': True}, {'word': 'perusahaan', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pembuatan', 'score': 0.0, 'matched': False}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'butuh', 'score': -4.0, 'matched': True}, {'word': 'hukum', 'score': 0.0, 'matched': True}, {'word': 'makan', 'score': 0.8, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'lama', 'score': -3.2, 'matched': True}]"
1820,2016-08-23T16:03:02.000Z,Populer Aturan Cuti Petahana Sebaiknya Opsional,populer aturan cuti petahana sebaiknya opsional,0.0,0.0,0.0,neutral,"['populer', 'aturan', 'cuti', 'petahana', 'sebaiknya', 'opsional']","['populer', 'aturan', 'cuti', 'petahana']","['sebaiknya', 'opsional']","['populer', 'aturan', 'cuti', 'petahana', 'sebaiknya', 'opsional']","[{'word': 'populer', 'score': 0.0, 'matched': True}, {'word': 'aturan', 'score': 0.0, 'matched': True}, {'word': 'cuti', 'score': 2.4000000000000004, 'matched': True}, {'word': 'petahana', 'score': 0.0, 'matched': True}, {'word': 'sebaiknya', 'score': 0.0, 'matched': False}, {'word': 'opsional', 'score': 0.0, 'matched': False}]"
1861,2016-08-23T12:13:12.000Z,News Ketua DPR Tak Ingin Komisi III Buru buru dalam Membahas RUU KUHP Komisi III DPR RI menggelar acar TU,news ketua DPR tak ingin komisi II buru buru dalam membahas RUU KUHP komisi II DPR RI menggelar acar ITU,0.0,0.0,0.0,neutral,"['news', 'ketua', 'DPR', 'tak', 'ingin', 'komisi', 'II', 'buru', 'buru', 'dalam', 'membahas', 'RUU', 'KUHP', 'komisi', 'II', 'DPR', 'RI', 'menggelar', 'acar', 'ITU']","['ketua', 'DPR', 'komisi', 'II', 'buru', 'buru', 'dalam', 'membahas', 'RUU', 'KUHP', 'komisi', 'II', 'DPR', 'RI', 'menggelar']","['news', 'tak', 'ingin', 'acar']","['news', 'tak', 'ingin', 'II', 'buru', 'buru', 'dalam', 'membahas', 'KUHP', 'II', 'menggelar', 'acar']","[{'word': 'news', 'score': 0.0, 'matched': False}, {'word': 'tak', 'score': 0.0, 'matched': False}, {'word': 'ingin', 'score': 0.0, 'matched': False}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'buru', 'score': 0.8, 'matched': True}, {'word': 'buru', 'score': 0.8, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'membahas', 'score': 0.0, 'matched': True}, {'word': 'KUHP', 'score': 0.0, 'matched': True}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'menggelar', 'score': 0.0, 'matched': True}, {'word': 'acar', 'score': 0.0, 'matched': False}]"
1866,2016-08-23T04:32:36.000Z,Dr Agus Hermanto bersama pimpinan DPR RI menghadiri Rapat Paripurna Masa Persidangan I TS,dari agus hermanto bersama pimpinan DPR RI menghadiri rapat paripurna masa persidangan i TS,0.0,0.0,0.0,neutral,"['dari', 'agus', 'hermanto', 'bersama', 'pimpinan', 'DPR', 'RI', 'menghadiri', 'rapat', 'paripurna', 'masa', 'persidangan', 'i', 'TS']","['bersama', 'pimpinan', 'DPR', 'RI', 'menghadiri', 'rapat', 'paripurna', 'masa', 'persidangan', 'i']","['agus', 'hermanto', 'TS']","['agus', 'hermanto', 'bersama', 'pimpinan', 'menghadiri', 'paripurna', 'masa', 'i', 'TS']","[{'word': 'agus', 'score': 0.0, 'matched': False}, {'word': 'hermanto', 'score': 0.0, 'matched': False}, {'word': 'bersama', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pimpinan', 'score': 0.0, 'matched': True}, {'word': 'menghadiri', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'i', 'score': 0.0, 'matched': True}, {'word': 'TS', 'score': 0.0, 'matched': False}]"
1898,2016-08-19T15:57:02.000Z,JKTJanken vs Winner Aurel,jktjanken vs winner aurel,0.0,0.0,0.0,neutral,"['jktjanken', 'vs', 'winner', 'aurel']",[],"['jktjanken', 'vs', 'winner', 'aurel']","['jktjanken', 'vs', 'winner', 'aurel']","[{'word': 'jktjanken', 'score': 0.0, 'matched': False}, {'word': 'vs', 'score': 0.0, 'matched': False}, {'word': 'winner', 'score': 0.0, 'matched': False}, {'word': 'aurel', 'score': 0.0, 'matched': False}]"
1903,2016-08-18T14:46:18.000Z,Wakil rakyat perlu elak politikkan RUU,wakil rakyat perlu elak politikkan RUU,-1.2,-0.3,0.8366600265340756,negative,"['wakil', 'rakyat', 'perlu', 'elak', 'politikkan', 'RUU']","['wakil', 'rakyat', 'perlu', 'elak', 'RUU']",['politikkan'],"['rakyat', 'perlu', 'elak', 'politikkan']","[{'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'perlu', 'score': 1.6, 'matched': True}, {'word': 'elak', 'score': -2.4000000000000004, 'matched': True}, {'word': 'politikkan', 'score': 0.0, 'matched': False}]"
1935,2016-08-16T08:41:53.000Z,Pidato presiden Republik Indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tgl Agustus,pidato presiden republik indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tanggal agustus,0.0,0.0,0.0,neutral,"['pidato', 'presiden', 'republik', 'indonesia', 'tentang', 'RUU', 'APBN', 'pada', 'sidang', 'paripurna', 'DPR', 'RI', 'DPD', 'RI', 'tanggal', 'agustus']","['pidato', 'presiden', 'republik', 'indonesia', 'tentang', 'RUU', 'APBN', 'sidang', 'paripurna', 'DPR', 'RI', 'DPD', 'RI', 'tanggal', 'agustus']",[],"['pidato', 'republik', 'tentang', 'APBN', 'paripurna', 'DPD', 'tanggal', 'agustus']","[{'word': 'pidato', 'score': 0.0, 'matched': True}, {'word': 'republik', 'score': 0.0, 'matched': True}, {'word': 'tentang', 'score': 0.8, 'matched': True}, {'word': 'APBN', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'DPD', 'score': 0.0, 'matched': True}, {'word': 'tanggal', 'score': 0.0, 'matched': True}, {'word': 'agustus', 'score': 0.0, 'matched': True}]"
1941,2016-08-16T08:02:05.000Z,Demikian beberap poin penting pidato Ketua DPR Ade Komarudin dalam Rapat Paripurna DPR RI mengenai RUU APBN ParipurnaDPR,demikian beberap poin penting pidato ketua DPR adek komarudin dalam rapat paripurna DPR RI mengenai RUU APBN paripurnadpr,0.0,0.0,0.0,neutral,"['demikian', 'beberap', 'poin', 'penting', 'pidato', 'ketua', 'DPR', 'adek', 'komarudin', 'dalam', 'rapat', 'paripurna', 'DPR', 'RI', 'mengenai', 'RUU', 'APBN', 'paripurnadpr']","['poin', 'penting', 'pidato', 'ketua', 'DPR', 'adek', 'dalam', 'rapat', 'paripurna', 'DPR', 'RI', 'RUU', 'APBN', 'paripurnadpr']","['demikian', 'beberap', 'komarudin', 'mengenai']","['demikian', 'beberap', 'poin', 'penting', 'pidato', 'adek', 'komarudin', 'dalam', 'paripurna', 'mengenai', 'APBN', 'paripurnadpr']","[{'word': 'demikian', 'score': 0.0, 'matched': False}, {'word': 'beberap', 'score': 0.0, 'matched': False}, {'word': 'poin', 'score': 1.6, 'matched': True}, {'word': 'penting', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pidato', 'score': 0.0, 'matched': True}, {'word': 'adek', 'score': 0.8, 'matched': True}, {'word': 'komarudin', 'score': 0.0, 'matched': False}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'mengenai', 'score': 0.0, 'matched': False}, {'word': 'APBN', 'score': 0.0, 'matched': True}, {'word': 'paripurnadpr', 'score': 0.0, 'matched': True}]"
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,-1.0,-0.25,0.7071067811865476,negative,"['anggota', 'DPR', 'kebijakan', 'full', 'day', 'school', 'belumtepat']","['anggota', 'DPR', 'kebijakan', 'belumtepat']","['full', 'day', 'school']","['full', 'day', 'school', 'belumtepat']","[{'word': 'full', 'score': 0.0, 'matched': False}, {'word': 'day', 'score': 0.0, 'matched': False}, {'word': 'school', 'score': 0.0, 'matched': False}, {'word': 'belumtepat', 'score': -0.6400000000000001, 'matched': True}]"
2086,2016-08-10T01:05:04.000Z,Anggota DPR Usulan RUU Kamnas Belum Tepat,anggota DPR usulan RUU kamnas belum tepat,-1.2,-0.3,0.447213595499958,negative,"['anggota', 'DPR', 'usulan', 'RUU', 'kamnas', 'belum', 'tepat']","['anggota', 'DPR', 'usulan', 'RUU', 'tepat']","['kamnas', 'belum']","['usulan', 'kamnas', 'belum', 'tepat']","[{'word': 'usulan', 'score': 0.0, 'matched': True}, {'word': 'kamnas', 'score': 0.0, 'matched': False}, {'word': 'belum', 'score': 0.0, 'matched': False}, {'word': 'tepat', 'score': 0.8, 'matched': True}]"
2162,2016-08-06T19:11:16.000Z,Rapat paripurna komisi dpr,rapat paripurna komisi dpr,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'komisi', 'dpr']","['rapat', 'paripurna', 'komisi', 'dpr']",[],['paripurna'],"[{'word': 'paripurna', 'score': 0.0, 'matched': True}]"
2251,2016-07-28T17:25:49.000Z,Tribun Ketua Komisi V Fary Djemi Luncurkan Buku Pengalaman saat Reses etua Komisi V DPR RI Fary Djemi NewsToday,tribun ketua komisi v fary djemi luncurkan buku pengalaman saat reses etua komisi v DPR RI fary djemi newstoday,0.8,0.2,0.447213595499958,positive,"['tribun', 'ketua', 'komisi', 'v', 'fary', 'djemi', 'luncurkan', 'buku', 'pengalaman', 'saat', 'reses', 'etua', 'komisi', 'v', 'DPR', 'RI', 'fary', 'djemi', 'newstoday']","['tribun', 'ketua', 'komisi', 'v', 'luncurkan', 'pengalaman', 'reses', 'komisi', 'v', 'DPR', 'RI']","['fary', 'djemi', 'buku', 'saat', 'etua', 'fary', 'djemi', 'newstoday']","['tribun', 'v', 'fary', 'djemi', 'luncurkan', 'buku', 'pengalaman', 'saat', 'reses', 'etua', 'v', 'fary', 'djemi', 'newstoday']","[{'word': 'tribun', 'score': 0.0, 'matched': True}, {'word': 'v', 'score': 0.0, 'matched': True}, {'word': 'fary', 'score': 0.0, 'matched': False}, {'word': 'djemi', 'score': 0.0, 'matched': False}, {'word': 'luncurkan', 'score': 0.0, 'matched': True}, {'word': 'buku', 'score': 0.0, 'matched': False}, {'word': 'pengalaman', 'score': 1.6, 'matched': True}, {'word': 'saat', 'score': 0.0, 'matched': False}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'etua', 'score': 0.0, 'matched': False}, {'word': 'v', 'score': 0.0, 'matched': True}, {'word': 'fary', 'score': 0.0, 'matched': False}, {'word': 'djemi', 'score': 0.0, 'matched': False}, {'word': 'newstoday', 'score': 0.0, 'matched': False}]"
2288,2016-07-27T17:17:12.000Z,Fraksi Setuju RUU Pertembakauan Diparipurnakan via republika,fraksi setuju RUU pertembakauan diparipurnakan via republika,0.2,0.05,0.447213595499958,positive,"['fraksi', 'setuju', 'RUU', 'pertembakauan', 'diparipurnakan', 'via', 'republika']","['fraksi', 'setuju', 'RUU', 'pertembakauan', 'diparipurnakan']","['via', 'republika']","['setuju', 'pertembakauan', 'diparipurnakan', 'via', 'republika']","[{'word': 'setuju', 'score': 0.4, 'matched': True}, {'word': 'pertembakauan', 'score': 0.0, 'matched': True}, {'word': 'diparipurnakan', 'score': 0.0, 'matched': True}, {'word': 'via', 'score': 0.0, 'matched': False}, {'word': 'republika', 'score': 0.0, 'matched': False}]"
2328,2016-07-26T17:38:32.000Z,NEWS Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani GaleriBerita,NEWS anggota DPR sebut RUU tembakau untuk melindungi petani galeriberita,0.8,0.2,0.447213595499958,positive,"['NEWS', 'anggota', 'DPR', 'sebut', 'RUU', 'tembakau', 'untuk', 'melindungi', 'petani', 'galeriberita']","['anggota', 'DPR', 'RUU', 'tembakau', 'melindungi', 'petani']","['NEWS', 'sebut', 'untuk', 'galeriberita']","['NEWS', 'sebut', 'tembakau', 'melindungi', 'petani', 'galeriberita']","[{'word': 'NEWS', 'score': 0.0, 'matched': False}, {'word': 'sebut', 'score': 0.0, 'matched': False}, {'word': 'tembakau', 'score': 0.0, 'matched': True}, {'word': 'melindungi', 'score': 0.8, 'matched': True}, {'word': 'petani', 'score': 0.0, 'matched': True}, {'word': 'galeriberita', 'score': 0.0, 'matched': False}]"
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadiri rapat paripurna wakil rakyat kepulauan riau kepri,0.0,0.0,0.0,neutral,"['gubernur', 'dan', 'plt', 'sekda', 'tidak', 'hadiri', 'rapat', 'paripurna', 'wakil', 'rakyat', 'kepulauan', 'riau', 'kepri']","['gubernur', 'hadiri', 'rapat', 'paripurna', 'wakil', 'rakyat', 'riau']","['dan', 'plt', 'sekda', 'kepulauan', 'kepri']","['gubernur', 'plt', 'sekda', 'tidak', 'hadiri', 'paripurna', 'rakyat', 'kepulauan', 'riau', 'kepri']","[{'word': 'gubernur', 'score': 0.0, 'matched': True}, {'word': 'plt', 'score': 0.0, 'matched': False}, {'word': 'sekda', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'hadiri', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'kepulauan', 'score': 0.0, 'matched': False}, {'word': 'riau', 'score': 0.0, 'matched': True}, {'word': 'kepri', 'score': 0.0, 'matched': False}]"
2391,2016-07-22T11:30:57.000Z,tahun RUU PRT diabaikan wakil rakyat via,tahun RUU PRT diabaikan wakil rakyat via,-2.0,-0.5,1.224744871391589,negative,"['tahun', 'RUU', 'PRT', 'diabaikan', 'wakil', 'rakyat', 'via']","['tahun', 'RUU', 'diabaikan', 'wakil', 'rakyat']","['PRT', 'via']","['tahun', 'PRT', 'diabaikan', 'rakyat', 'via']","[{'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'PRT', 'score': 0.0, 'matched': False}, {'word': 'diabaikan', 'score': -1.2000000000000002, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'via', 'score': 0.0, 'matched': False}]"
2398,2016-07-22T07:04:46.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang beritanegara,RUU pertanggungjawaban APBN disetujui DPR untuk dilanjutkan ke tingkat undang undang beritanegara,0.4,0.1,0.5477225575051662,positive,"['RUU', 'pertanggungjawaban', 'APBN', 'disetujui', 'DPR', 'untuk', 'dilanjutkan', 'ke', 'tingkat', 'undang', 'undang', 'beritanegara']","['RUU', 'pertanggungjawaban', 'APBN', 'disetujui', 'DPR', 'dilanjutkan', 'tingkat', 'undang', 'undang']","['untuk', 'ke', 'beritanegara']","['pertanggungjawaban', 'APBN', 'disetujui', 'dilanjutkan', 'tingkat', 'beritanegara']","[{'word': 'pertanggungjawaban', 'score': 0.0, 'matched': True}, {'word': 'APBN', 'score': 0.0, 'matched': True}, {'word': 'disetujui', 'score': 0.0, 'matched': True}, {'word': 'dilanjutkan', 'score': 0.0, 'matched': True}, {'word': 'tingkat', 'score': 0.8, 'matched': True}, {'word': 'beritanegara', 'score': 0.0, 'matched': False}]"
2403,2016-07-21T14:53:03.000Z,Kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU Tembakau yg memuat racun nikotin perusak kesehatan otak dan paru insan?,kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU tembakau yang memuat racun nikotin perusak kesehatan otak dan paru insan ?,-2.8,-0.7,0.4472135954999578,negative,"['kenapa', 'mata', 'jadi', 'buta', 'telinga', 'jadi', 'tuli', 'bila', 'anggota', 'DPR', 'bahas', 'RUU', 'tembakau', 'yang', 'memuat', 'racun', 'nikotin', 'perusak', 'kesehatan', 'otak', 'dan', 'paru', 'insan', '?']","['mata', 'jadi', 'buta', 'jadi', 'tuli', 'anggota', 'DPR', 'bahas', 'RUU', 'tembakau', 'memuat', 'racun', 'perusak', 'kesehatan', 'otak']","['kenapa', 'telinga', 'bila', 'nikotin', 'dan', 'paru', 'insan', '?']","['kenapa', 'mata', 'jadi', 'buta', 'telinga', 'jadi', 'tuli', 'bila', 'bahas', 'tembakau', 'memuat', 'racun', 'nikotin', 'perusak', 'kesehatan', 'otak', 'paru', 'insan', '?']","[{'word': 'kenapa', 'score': 0.0, 'matched': False}, {'word': 'mata', 'score': -1.6, 'matched': True}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'buta', 'score': -2.4000000000000004, 'matched': True}, {'word': 'telinga', 'score': 0.0, 'matched': False}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'tuli', 'score': -2.4000000000000004, 'matched': True}, {'word': 'bila', 'score': 0.0, 'matched': False}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'tembakau', 'score': 0.0, 'matched': True}, {'word': 'memuat', 'score': 0.0, 'matched': True}, {'word': 'racun', 'score': -1.2000000000000002, 'matched': True}, {'word': 'nikotin', 'score': 0.0, 'matched': False}, {'word': 'perusak', 'score': -1.2000000000000002, 'matched': True}, {'word': 'kesehatan', 'score': 0.0, 'matched': True}, {'word': 'otak', 'score': 2.4000000000000004, 'matched': True}, {'word': 'paru', 'score': 0.0, 'matched': False}, {'word': 'insan', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}]"
2472,2016-07-19T03:29:08.000Z,Undang Undang Pertembakauan Tekankan Pengendalian Impor,undang undang pertembakauan tekankan pengendalian impor,0.0,0.0,0.0,neutral,"['undang', 'undang', 'pertembakauan', 'tekankan', 'pengendalian', 'impor']","['undang', 'undang', 'pertembakauan', 'pengendalian', 'impor']",['tekankan'],"['pertembakauan', 'tekankan', 'pengendalian', 'impor']","[{'word': 'pertembakauan', 'score': 0.0, 'matched': True}, {'word': 'tekankan', 'score': 0.0, 'matched': False}, {'word': 'pengendalian', 'score': 0.0, 'matched': True}, {'word': 'impor', 'score': 0.0, 'matched': True}]"
2547,2016-07-02T08:15:49.000Z,JAKARTA Anggota Komisi IX DPR RI Ahmad Zainuddin menyambut baik kebijakan Badan Penyelenggara Jaminan Sosia,JAKARTA anggota komisi IX DPR RI ahmad zainuddin menyambut baik kebijakan badan penyelenggara jaminan sosia,1.0,0.25,0.0,positive,"['JAKARTA', 'anggota', 'komisi', 'IX', 'DPR', 'RI', 'ahmad', 'zainuddin', 'menyambut', 'baik', 'kebijakan', 'badan', 'penyelenggara', 'jaminan', 'sosia']","['JAKARTA', 'anggota', 'komisi', 'IX', 'DPR', 'RI', 'menyambut', 'baik', 'kebijakan', 'badan', 'penyelenggara', 'jaminan']","['ahmad', 'zainuddin', 'sosia']","['JAKARTA', 'IX', 'ahmad', 'zainuddin', 'menyambut', 'baik', 'badan', 'penyelenggara', 'jaminan', 'sosia']","[{'word': 'JAKARTA', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'ahmad', 'score': 0.0, 'matched': False}, {'word': 'zainuddin', 'score': 0.0, 'matched': False}, {'word': 'menyambut', 'score': 0.8, 'matched': True}, {'word': 'baik', 'score': 0.6400000000000001, 'matched': True}, {'word': 'badan', 'score': 0.0, 'matched': True}, {'word': 'penyelenggara', 'score': 0.0, 'matched': True}, {'word': 'jaminan', 'score': 0.0, 'matched': True}, {'word': 'sosia', 'score': 0.0, 'matched': False}]"
2566,2016-06-29T07:45:15.000Z,RUU tentang Penyandang Disabilitas yg merupakan revisi dari UU Nomor Tahun kini telah disahkan menjadi Undang Undang oleh,RUU tentang penyandang disabilitas yang merupakan revisi dari UU nomor tahun kini telah disahkan menjadi undang undang oleh,1.2,0.3,0.8366600265340756,positive,"['RUU', 'tentang', 'penyandang', 'disabilitas', 'yang', 'merupakan', 'revisi', 'dari', 'UU', 'nomor', 'tahun', 'kini', 'telah', 'disahkan', 'menjadi', 'undang', 'undang', 'oleh']","['RUU', 'tentang', 'penyandang', 'disabilitas', 'revisi', 'UU', 'tahun', 'kini', 'disahkan', 'undang', 'undang']","['merupakan', 'nomor', 'telah', 'menjadi']","['tentang', 'penyandang', 'disabilitas', 'merupakan', 'revisi', 'UU', 'nomor', 'tahun', 'kini', 'telah', 'disahkan', 'menjadi']","[{'word': 'tentang', 'score': 0.8, 'matched': True}, {'word': 'penyandang', 'score': 0.0, 'matched': True}, {'word': 'disabilitas', 'score': 0.0, 'matched': True}, {'word': 'merupakan', 'score': 0.0, 'matched': False}, {'word': 'revisi', 'score': 0.0, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'nomor', 'score': 0.0, 'matched': False}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'kini', 'score': 2.4000000000000004, 'matched': True}, {'word': 'telah', 'score': 0.0, 'matched': False}, {'word': 'disahkan', 'score': 0.0, 'matched': True}, {'word': 'menjadi', 'score': 0.0, 'matched': False}]"
2646,2016-06-27T16:19:02.000Z,RUU Tax Amnesty Melangkah ke Paripurna DPR RI,RUU tax amnesty melangkah ke paripurna DPR RI,0.8,0.2,0.447213595499958,positive,"['RUU', 'tax', 'amnesty', 'melangkah', 'ke', 'paripurna', 'DPR', 'RI']","['RUU', 'tax', 'amnesty', 'paripurna', 'DPR', 'RI']","['melangkah', 'ke']","['tax', 'amnesty', 'melangkah', 'paripurna']","[{'word': 'tax', 'score': 0.0, 'matched': True}, {'word': 'amnesty', 'score': 0.0, 'matched': True}, {'word': 'melangkah', 'score': 0.0, 'matched': False}, {'word': 'paripurna', 'score': 0.0, 'matched': True}]"
2660,2016-06-27T14:05:35.000Z,Hari ini Komisi XI DPR_RI melakukan persetujuan tingkat I atas RUU Pengampunan Pajak Semua fraksi setuju diteruskan ke Paripurna DPR,hari ini komisi XI DPR_RI melakukan persetujuan tingkat i atas RUU pengampunan pajak semua fraksi setuju diteruskan ke paripurna DPR,0.2,0.05,0.447213595499958,positive,"['hari', 'ini', 'komisi', 'XI', 'DPR_RI', 'melakukan', 'persetujuan', 'tingkat', 'i', 'atas', 'RUU', 'pengampunan', 'pajak', 'semua', 'fraksi', 'setuju', 'diteruskan', 'ke', 'paripurna', 'DPR']","['hari', 'komisi', 'XI', 'DPR_RI', 'persetujuan', 'tingkat', 'i', 'atas', 'RUU', 'pengampunan', 'pajak', 'semua', 'fraksi', 'setuju', 'diteruskan', 'paripurna', 'DPR']","['ini', 'melakukan', 'ke']","['hari', 'XI', 'DPR_RI', 'melakukan', 'persetujuan', 'tingkat', 'i', 'atas', 'pengampunan', 'pajak', 'semua', 'setuju', 'diteruskan', 'paripurna']","[{'word': 'hari', 'score': 0.0, 'matched': True}, {'word': 'XI', 'score': 0.0, 'matched': True}, {'word': 'DPR_RI', 'score': 0.0, 'matched': True}, {'word': 'melakukan', 'score': 0.0, 'matched': False}, {'word': 'persetujuan', 'score': 0.0, 'matched': True}, {'word': 'tingkat', 'score': 0.8, 'matched': True}, {'word': 'i', 'score': 0.0, 'matched': True}, {'word': 'atas', 'score': 0.0, 'matched': True}, {'word': 'pengampunan', 'score': 0.0, 'matched': True}, {'word': 'pajak', 'score': 0.0, 'matched': True}, {'word': 'semua', 'score': 0.0, 'matched': True}, {'word': 'setuju', 'score': 0.4, 'matched': True}, {'word': 'diteruskan', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}]"
2663,2016-06-27T13:01:17.000Z,Rapat Paripurna Diwarnai Bangku Kosong Anggota Dewan,rapat paripurna diwarnai bangku kosong anggota dewan,-2.8,-0.7,0.4472135954999578,negative,"['rapat', 'paripurna', 'diwarnai', 'bangku', 'kosong', 'anggota', 'dewan']","['rapat', 'paripurna', 'kosong', 'anggota', 'dewan']","['diwarnai', 'bangku']","['paripurna', 'diwarnai', 'bangku', 'kosong', 'dewan']","[{'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'diwarnai', 'score': 0.0, 'matched': False}, {'word': 'bangku', 'score': 0.0, 'matched': False}, {'word': 'kosong', 'score': -3.2, 'matched': True}, {'word': 'dewan', 'score': 0.0, 'matched': True}]"
