no,timestamp,teks,teks_processed,sentiment,compound_score
4143,2016-04-27T11:00:38.000Z,DPR dan Pemerintah Bertekad Lindungi Pekerja Migran di Luar Negeri RUU ini akan membuat pekerja merasa sebagai,DPR dan pemerintah bertekad lindungi pekerja migran di luar negeri RUU ini akan membuat pekerja merasa sebagai,positive,0.6369499429264263
4180,2017-12-29T12:12:32.000Z,Banda Aceh Pemerintah dan Dewan Perwakilan Rakyat Aceh Didorong agar mempercepat pengesahan anggaran,banda aceh pemerintah dan dewan perwakilan rakyat aceh didorong agar mempercepat pengesahan anggaran,negative,-0.295958174200194
4198,2017-12-27T08:04:40.000Z,Komoditas Strategis Layak Dilindungi Undang Undang,komoditas strategis layak dilindungi undang undang,positive,0.6553107437670133
4222,2017-12-24T02:13:15.000Z,Bantu Arief Rahman Satriyo dapat lebih banyak tanda tangan tanda tangan diperlukan!,bantu arief rahman satriyo dapat lebih banyak tanda tangan tanda tangan diperlukan !,positive,0.865500999771237
4244,2017-12-23T16:08:46.000Z,Untuk Indonesia Yang Lebih Baik,untuk indonesia yang lebih baik,positive,0.34849771974735094
4300,2017-12-22T01:37:45.000Z,Menggantang RUU Sawit Bermanfaat atau Mudarat,menggantang RUU sawit bermanfaat atau mudarat,negative,-0.6739361716859966
4307,2017-12-21T04:16:12.000Z,Peradilan di Bawah Tekanan Itu karena Undang Undang Peradilan mungkin dibuat untuk kepentingan EGO PEMBENARAN DIRI Oknum Anggota DPR,peradilan di bawah tekanan itu karena undang undang peradilan mungkin dibuat untuk kepentingan EGO PEMBENARAN DIRI oknum anggota DPR,negative,-0.9020292896049433
4317,2017-12-20T04:24:47.000Z,Ginilah prof klo RUU terus tdk rampung akan jd kekakcauan di masyarakat di mana dewan perwakilan rakyat DPR yg menyuarakan mewakili rakyat jika RUU ZINA DAN LGBT tdk kunjung rampung karna zina dan lgbt sangat meresah kan lingkungan masyarakat,ginilah prof jika RUU terus tidak rampung akan jadi kekakcauan di masyarakat di mana dewan perwakilan rakyat DPR yang menyuarakan mewakili rakyat jika RUU ZINA DAN LGBT tidak kunjung rampung karena zina dan lgbt sangat meresah kan lingkungan masyarakat,negative,-0.9815507658222502
4352,2017-12-18T05:48:13.000Z,Ternyata arek iki terutama yg marah ke MK ditambah dg dikompori politisi senayan beberapa sih baru ngeh bahwa RUU KUHP di itulah UU yg akan dipakai jk nanti sdh disahkan bkn putusan MK barusan Makane rek ojo gumunan ojo mudah dikompori awasi itu pembahasan RUU,ternyata arek iki terutama yang marah ke MAKA ditambah dengan dikompori politisi senayan beberapa sih baru engah bahwa RUU KUHP di itulah UU yang akan dipakai jika nanti sudah disahkan bukan putusan MAKA barusan makane rek ojo gumunan ojo mudah dikompori awasi itu pembahasan RUU,negative,-0.5747254194897772
4371,2017-12-16T13:25:11.000Z,Cc tanya prof kapan ya selesaikan RUU KUHP dulu alasannya ndak cukup waktu dan serahkan ke DPR Sekarang sdh mau berakhir koq ndak selesai juga Masa nunggu rakyat gugat terus ke MK? Curiga saya ini Mau lepas tangan lagi Hehe,cc tanya prof kapan ya selesaikan RUU KUHP dulu alasannya indak cukup waktu dan serahkan ke DPR sekarang sudah mau berakhir kok indak selesai juga masa menunggu rakyat gugat terus ke MK ? curiga saya ini mau lepas tangan lagi hehe,negative,-0.8555415792658776
4375,2017-12-16T07:50:27.000Z,Kan udah ada di RUU ih,kan sudah ada di RUU ih,neutral,0.0
4376,2017-12-16T07:30:16.000Z,Reses Bersama FPKB DPR RI melalui,reses bersama FPKB DPR RI melalui,positive,0.819240034925201
4451,2017-12-08T02:25:03.000Z,Cth RUU pengaturan tempat peribadatan anggota DPR Wah masa tempat ibadat diatur atur Ini namanya intoleransi Gak boleh diatur atur padahal isinya tentang syarat dan kelayakan tempat ibadah Politisi modal headline,cth RUU pengaturan tempat peribadatan anggota DPR wah masa tempat ibadat diatur atur ini namanya intoleransi tidak boleh diatur atur padahal isinya tentang syarat dan kelayakan tempat ibadah politisi modal headline,positive,0.49797204080560115
4470,2017-12-07T10:13:15.000Z,RUU Tentang Serah Simpan Karya Cetak dan Karya Rekam Jadi RUU Usul Inisiatif DPR RI kanalhukum id,RUU tentang serah simpan karya cetak dan karya rekam jadi RUU usul inisiatif DPR RI kanalhukum id,positive,0.8986243465789788
4471,2017-12-07T10:10:29.000Z,Siang ini Kamis Desember memimpin Rapat Paripurna DPR RI Ke Masa Persidangan II Tahun Sidang Mendengarkan Laporan Komisi I mengenai hasil uji kelayakan dan kepatutan calon Marsekal TNI Hadi Tjahjanto sbg calon panglima baru TNI,siang ini kamis desember memimpin rapat paripurna DPR RI ke masa persidangan II tahun sidang mendengarkan laporan komisi i mengenai hasil uji kelayakan dan kepatutan calon marsekal TNI hadi tjahjanto sebagai calon panglima baru TNI,positive,0.6369499429264264
4489,2017-12-06T01:48:55.000Z,RUU Masuk Prioritas Tahun,RUU masuk prioritas tahun,neutral,0.0
4497,2017-12-05T05:42:04.000Z,Melangsungkan Rapat Paripurna DPR RI Ke Masa Persidangan II Th Sidang Selasa membahas agenda Setujui lap Baleg ttg Prolegnas setujui RUU SDA Kebidanan serta setujui perpanjangan pembahasan RUU Terorisme Karantina Kesehatan dpr,melangsungkan rapat paripurna DPR RI ke masa persidangan II tahu sidang selasa membahas agenda setujui lap baleg tentang prolegnas setujui RUU SDA kebidanan serta setujui perpanjangan pembahasan RUU terorisme karantina kesehatan dpr,negative,-0.5765606074399332
4532,2017-12-02T14:38:38.000Z,Anda terlihat pintar bermain kata debat tapi anda blm terlihat pintar merealisasikan janji sbg wakil rakyat yg sebagian besar merasakan hidup bertambah sulit utk disampaikan ke pemerintah bukan hanya pro semua kebijakan,anda terlihat pintar bermain kata debat tetapi anda belum terlihat pintar merealisasikan janji sebagai wakil rakyat yang sebagian besar merasakan hidup bertambah sulit untuk disampaikan ke pemerintah bukan hanya pro semua kebijakan,negative,-0.7945504041059032
4609,2017-11-22T14:47:16.000Z,Komisi II Terima DIM RUU Pertanahan dari Pemerintah,komisi II terima DIM RUU pertanahan dari pemerintah,positive,0.515992754694415
4657,2017-11-18T10:54:25.000Z,Peresmian Rumah Aspirasi H Bisri Romli Anggota DPR RI oleh CakImindiKotaBatik,peresmian rumah aspirasi h bisri romli anggota DPR RI oleh cakimindikotabatik,positive,0.6289226359922112
4690,2017-11-15T11:09:58.000Z,Yg aangat konyol pengacara bilang SN adalah wakil rakyat yg seharusnya di hormati krn membawa aspirasi rakyat lha KORUPSI emang aspirasi rakyat utekmu wes kebuntel duit! Rakyat pun muak kok bisanya membawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,yang aangat konyol pengacara bilang SN adalah wakil rakyat yang seharusnya di hormati karena membawa aspirasi rakyat lah KORUPSI memang aspirasi rakyat utekmu wes kebuntel duit ! rakyat pun muak kok bisanya membawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,negative,-0.8776551289330597
4742,2017-11-10T10:32:14.000Z,Tarif Listrik Siasat Jonan dan Upaya Selamatkan PLN,tarif listrik siasat jonan dan upaya selamatkan PLN,positive,0.34849771974735094
4755,2017-11-09T04:29:32.000Z,bagus silakan lihat!,bagus silakan lihat !,positive,0.7959314615208284
4877,2017-10-25T13:31:56.000Z,DPR RI Setujui RUU Menjadi UU Baru Klik,DPR RI setujui RUU menjadi UU baru klik,neutral,0.0
4881,2017-10-25T11:41:04.000Z,Rapat Paripurna DPR RI Setujui UU APBN,rapat paripurna DPR RI setujui UU APBN,neutral,0.0
5021,2017-10-24T06:45:43.000Z,Massa demonstran penolakan perppu ormas menjadi undang undang hingga saat ini masih bertahan di depan Gedung DPR Jakarta ros,massa demonstran penolakan perppu ormas menjadi undang undang hingga saat ini masih bertahan di depan gedung DPR jakarta ros,positive,0.38181916792267817
5023,2017-10-24T05:30:54.000Z,Buruh Desak DPR RI Tolak Pengesahan Perppu Ormas FSPMI,buruh desak DPR RI tolak pengesahan perppu ormas FSPMI,negative,-0.4893110583195424
5067,2017-10-23T07:27:44.000Z,Kegiatan ini dlm rangka pelaksanaan fungsi pengawasan atas rekomendasi Rapat Paripurna bulan September,kegiatan ini dalam rangka pelaksanaan fungsi pengawasan atas rekomendasi rapat paripurna bulan september,positive,0.5267415375673765
5094,2017-10-21T12:29:59.000Z,naib RUU KUHP bagaimana ya?,naib RUU KUHP bagaimana ya ?,negative,-0.28077181552431213
5249,2017-10-04T10:46:44.000Z,Panja DPR RI Harus Segera Menyelesaikan RUU Terorisme,panja DPR RI harus segera menyelesaikan RUU terorisme,negative,-0.7455756637711038
5259,2017-10-03T06:26:54.000Z,RUU Penyiaran Berikan Ruang Bagi Iklan Rokok,RUU penyiaran berikan ruang bagi iklan rokok,negative,-0.6369499429264263
5292,2017-09-28T05:48:21.000Z,RUU SDA Harus Fokus Pada Pengelolaan Sumber Daya Air,RUU SDA harus fokus pada pengelolaan sumber daya air,negative,-0.6289226359922113
5317,2017-09-26T04:34:07.000Z,Rapat Paripurna pagi ini dipimpin oleh Bang,rapat paripurna pagi ini dipimpin oleh bang,positive,0.20228869496966945
5327,2017-09-26T01:54:04.000Z,Agenda DPR Selasa Pukul WIB Komisi VIII DPR Rapat Panja RUU Penyelenggaraan Ibadah Haji dan Umrah agendaDPR,agenda DPR selasa pukul WIB komisi VII DPR rapat panja RUU penyelenggaraan ibadah haji dan umrah agendadpr,positive,0.7739149202363939
5365,2017-09-20T06:13:26.000Z,Komisi X DPR RI Sosialisasikan Undang Undang Sistem Perbukuan di Kalimantan Selatan KunkerDPR,komisi kali DPR RI sosialisasikan undang undang sistem perbukuan di kalimantan selatan kunkerdpr,neutral,0.0
5409,2017-09-14T16:10:47.000Z,Selesaikan RUU Lembaga Pendidikan Keagamaan Pesantren,selesaikan RUU lembaga pendidikan keagamaan pesantren,neutral,0.0
5445,2017-09-12T19:00:49.000Z,Survei Kerenggangan DPR dan Masyarakat Sangat Jauh,survei kerenggangan DPR dan masyarakat sangat jauh,negative,-0.6697392619941973
5450,2017-09-12T12:39:07.000Z,Kementerian PPPA dan DPR RI sepakat bentuk panja RUU PKS Papua,kementerian PAPA dan DPR RI sepakat bentuk panja RUU PKS papua,positive,0.7630964195447764
5486,2017-09-09T23:23:06.000Z,Jadi jangan percaya omongan anggota dpr yg ternyata sering berbeda dg kebijakan Partainya,jadi jangan percaya omongan anggota dpr yang ternyata sering berbeda dengan kebijakan partainya,negative,-0.2995523155656093
5506,2017-09-07T03:04:11.000Z,Godok RUU Penyadapan Anggota DPR Kami Nggak Ada Takutnya,godok RUU penyadapan anggota DPR kami tidak ada takutnya,negative,-0.7739149202363939
5519,2017-09-06T02:07:03.000Z,Agenda DPR Rabu Pukul WIB Baleg DPR Rapat Panja Harmonisasi RUU Penyiaran agendaDPR,agenda DPR rabu pukul WIB baleg DPR rapat panja harmonisasi RUU penyiaran agendadpr,positive,0.712522343841055
5526,2017-09-05T02:22:02.000Z,Agak salah ruangan Kak Ga spt ruang rapat paripurna di ruang rapat komisi badan mungkin hampir ga ada tidur ini battleground,agak salah ruangan kak tidak seperti ruang rapat paripurna di ruang rapat komisi badan mungkin hampir tidak ada tidur ini battleground,negative,-0.9568200709625954
5575,2017-08-29T12:01:34.000Z,Saya suka video H Sukiman S Pd M M Rapat Paripurna DPR RI Agustus,saya suka video h sukiman si pada sama sama rapat paripurna DPR RI agustus,positive,0.8806721767742778
5580,2017-08-29T07:36:14.000Z,Untuk keperluan reses para anggota DPR,untuk keperluan reses para anggota DPR,positive,0.8531129627980243
5581,2017-08-29T07:10:54.000Z,Selama DPR Telah Menyelesaikan RUU Nasional RUU DPRRI,selama DPR telah menyelesaikan RUU nasional RUU DPRRI,neutral,0.0
5610,2017-08-29T03:21:18.000Z,Ke depan perencanaan legislasi di DPR hendaknya tidak hanya bertumpu pada sejumlah RUU yang ditargetkan HUTDPR,ke depan perencanaan legislasi di DPR hendaknya tidak hanya bertumpu pada sejumlah RUU yang ditargetkan HUTDPR,negative,-0.4865635778179105
5641,2017-08-25T12:52:52.000Z,Anggota DPR Tidak Hadiri Sidang Paripurna RUU APBN Karena Gedung DPR Miring?,anggota DPR tidak hadiri sidang paripurna RUU APBN karena gedung DPR miring ?,negative,-0.8986243465789788
5661,2017-08-24T07:25:11.000Z,info RUU APBN,info RUU APBN,neutral,0.0
5669,2017-08-23T09:24:53.000Z,Penerapan TV digital masih terganjal RUU Penyiaran di DPR RI,penerapan TV digital masih terganjal RUU penyiaran di DPR RI,negative,-0.7455756637711038
5723,2017-08-16T07:19:20.000Z,memimpin Rapat Paripurna DPR RI,memimpin rapat paripurna DPR RI,neutral,0.0
5791,2017-08-10T01:29:08.000Z,reses dpr ri dasco kunjungi KGN kab tangerang,reses dpr ri dasco kunjungi KANGEN kab tangerang,positive,0.7782533221506258
5808,2017-08-07T14:28:31.000Z,Sebagai anggota DPR RI dalam agenda reses,sebagai anggota DPR RI dalam agenda reses,neutral,0.0
5824,2017-08-04T08:50:08.000Z,Ini komentar anggota DPR soal RUU KUP,ini komentar anggota DPR soal RUU KUP,negative,-0.3680368469877013
5893,2017-07-27T04:50:01.000Z,Pendapat Akhir Pemerintah terhadap RUU tentang Pertanggungjawaban atas Pelaksanaan APBN TA ParipurnaDPR,pendapat akhir pemerintah terhadap RUU tentang pertanggungjawaban atas pelaksanaan APBN TA paripurnadpr,negative,-0.5159927546944149
5921,2017-07-24T13:22:46.000Z,Saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU Prioritas tahun,saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU prioritas tahun,neutral,0.0
5928,2017-07-24T04:52:27.000Z,Dorong Segera Seriusi RUU Redenominasi,dorong segera seriusi RUU redenominasi,positive,0.6289226359922112
5933,2017-07-23T13:36:06.000Z,KONI Bojonegoro Adakan Kejuaraan Voli,KONI bojonegoro adakan kejuaraan voli,neutral,0.0
5940,2017-07-22T16:13:26.000Z,KAMI INGIN TAHU seberapa ingin anda bila ILC Selasa Juli mengangkat topik UU Pemilu Presidential Threshold RT bila setuju,KAMI INGIN TAHU seberapa ingin anda bila ILC selasa juli mengangkat topik UU pemilu presidential threshold RT bila setuju,positive,0.28077181552431213
5954,2017-07-22T06:53:23.000Z,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna DagelanWalkOut,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna dagelanwalkout,negative,-0.38181916792267817
6011,2017-07-20T18:01:26.000Z,Sidang Paripurna di DPR RI yang membahas RUU Pemilu telah selesai dilaksanakan Ach ElshintaNewsAndTalk,sidang paripurna di DPR RI yang membahas RUU pemilu telah selesai dilaksanakan ach elshintanewsandtalk,positive,0.515992754694415
6051,2017-07-20T15:16:42.000Z,LintasINFO Suasana jelang Rapat Paripurna di Rep,lintasinfo suasana jelang rapat paripurna di rep,positive,0.8224628936244653
6056,2017-07-20T14:40:57.000Z,Kelihatan RUU Pemilu yg akan disahkan malam ini ngga jd perhatian masyarakat TL,kelihatan RUU pemilu yang akan disahkan malam ini tidak jadi perhatian masyarakat TL,negative,-0.9098601678077836
6101,2017-07-20T03:46:34.000Z,Bukan pengesahan RUU Pemilu dipimpin,bukan pengesahan RUU pemilu dipimpin,negative,-0.6289226359922112
6165,2017-07-14T03:03:54.000Z,Saya juga kaget membacanya,saya juga kaget membacanya,positive,0.5267415375673765
6241,2017-07-11T12:44:00.000Z,Mereka yg di DPR bukan wakil rakyat tetapi wakil partai Merka bekerja ntuk kpntingn partai bukan untuk rakyat Bikin RUU sja gabecus,mereka yang di DPR bukan wakil rakyat tetapi wakil partai mereka bekerja ntuk kpntingn partai bukan untuk rakyat bikin RUU saja gabecus,negative,-0.951661902861773
6278,2017-07-10T04:10:15.000Z,Banggar DPR raker dengan Menkopolhukam Menko Kemaritiman membahas RKA K L RUU APBNP BanggarDPR,banggar DPR raker dengan menkopolhukam menko kemaritiman membahas RKA ke l RUU APBNP banggardpr,neutral,0.0
6283,2017-07-09T08:01:50.000Z,DPR Lanjutkan Pembahasan RUU Perkelapasawitan,DPR lanjutkan pembahasan RUU perkelapasawitan,positive,0.3680368469877013
6330,2017-07-06T13:12:50.000Z,RUU KUHP Ditargetkan Selesai Periode Ini,RUU KUHP ditargetkan selesai periode ini,positive,0.515992754694415
6376,2017-07-05T00:48:25.000Z,Usul segera hentikan manuver politik yg tdk berguna buang waktu spt hak angket thdp agar fokus ke RUU Pemilu,usul segera hentikan manuver politik yang tidak berguna buang waktu seperti hak angket terhadap agar fokus ke RUU pemilu,negative,-0.8905908770652291
6397,2017-07-04T02:18:01.000Z,Apakah RUU Pemilu akan selesai di Bulan Juli ?,apakah RUU pemilu akan selesai di bulan juli ?,positive,0.38181916792267817
6407,2017-07-03T07:42:24.000Z,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,negative,-0.8555415792658776
6414,2017-07-02T09:53:32.000Z,kpn RUU anti teroris jd? Hrs nunggu ada anggota DPR jd korbankah spt hak angket yg dikebut ketika ada yg kena e ktp?,kapan RUU anti teroris jd ? harus menunggu ada anggota DPR jadi korbankah seperti hak angket yang dikebut ketika ada yang kena e ktp ?,negative,-0.9615483386543959
6451,2017-06-27T22:05:34.000Z,Mrk masuk utk brkembang biak di NKRI KRN SUAMINYA SDH TERDESAK! MSH JG DEBAT MSLH MSK DLM RUU!GOBLOK PENDONOR ISIS X?,mereka masuk untuk brkembang biak di NKRI KARENA SUAMINYA SUDAH TERDESAK ! MASIH JUGA DEBAT MASALAH MASUK DALAM RUU ! GOBLOK PENDONOR ISIS X ?,negative,-0.8838240033141274
6482,2017-06-19T09:35:04.000Z,Untuk Majukan PT Tidak Bisa Diberikan Kebijakan Sama,untuk majukan PT tidak bisa diberikan kebijakan sama,negative,-0.38181916792267817
6607,2017-06-11T10:54:35.000Z,punya fungsi mengawasi yg dijamin undang undang,punya fungsi mengawasi yang dijamin undang undang,positive,0.10273309938750283
6616,2017-06-10T14:29:02.000Z,kngen juga leat Sinetron walk out sambil menangis dr pas pengesahan kenaikan BBM di era Rezim dulu,kangen juga leat sinetron walk out sambil menangis dari pas pengesahan kenaikan BBM di era rezim dulu,negative,-0.33131729782405317
6674,2017-06-06T07:36:51.000Z,Smoga secepatnya bisa di syahkan RUU Palang Merah Cc,semoga secepatnya bisa di syahkan RUU palang merah cc,positive,0.8555415792658776
6684,2017-06-05T10:40:13.000Z,Nunggu RUU penyiaran di sahkan oleh,menunggu RUU penyiaran di sahkan oleh,negative,-0.6289226359922112
6744,2017-05-31T01:58:50.000Z,Maju terus Pak Segera dipercepat Pengesahannya,maju terus pak segera dipercepat pengesahannya,positive,0.6369499429264264
6807,2017-05-29T09:50:52.000Z,Anggota Pansus RUU Pemilu mengajukan penambahan Kursi Anggota DPR sedangkan Kemendagri meminta atau kursi,anggota pansus RUU pemilu mengajukan penambahan kursi anggota DPR sedangkan kemendagri meminta atau kursi,positive,0.4588314677411235
6830,2017-05-28T14:28:32.000Z,Anggota DPR yg tarik ulur RUU Antiteroris mungkin bagian dri teroris itu sendiri,anggota DPR yang tarik ulur RUU antiteroris mungkin bagian dari teroris itu sendiri,negative,-0.9037378758536677
6838,2017-05-27T12:10:20.000Z,Selamat jalan bhayangkaraku,selamat jalan bhayangkaraku,positive,0.20228869496966945
6841,2017-05-27T03:33:09.000Z,Kapan nih RUU terorisme diketok palu ?,kapan ini RUU terorisme diketok palu ?,negative,-0.4588314677411235
6874,2017-05-23T02:36:14.000Z,RUU Pemilu Segera Divoting,RUU pemilu segera divoting,positive,0.6289226359922112
6878,2017-05-22T07:36:12.000Z,Hanya Dihadiri Anggota DPR Pembahasan RUU KUHP Ditunda,hanya dihadiri anggota DPR pembahasan RUU KUHP ditunda,negative,-0.7455756637711038
6884,2017-05-21T02:23:44.000Z,kapan RUU ASN untuk honorer di sahkan pak DPR RI,kapan RUU ASN untuk honorer di sahkan pak DPR RI,neutral,0.0
6885,2017-05-20T10:24:31.000Z,meminta untuk fokus dalam membahas penyelesaian RUU Pemilu,meminta untuk fokus dalam membahas penyelesaian RUU pemilu,positive,0.8806721767742778
6992,2017-05-12T02:16:36.000Z,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,positive,0.38181916792267817
7035,2017-05-03T07:16:06.000Z,Undang undang ? N O L B E S A R ! ! ! ! ! ! !,undang undang ? n o l b e si a r ! ! ! ! ! ! !,neutral,0.0
7041,2017-05-02T07:50:05.000Z,Internal Hanura Terbelah Sikapi Hak Angket KPK,internal hanura terbelah sikapi hak angket KPK,negative,-0.295958174200194
7075,2017-04-29T03:50:08.000Z,RUU Pemilu menghadang Jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,RUU pemilu menghadang jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,negative,-0.9264597282711269
7158,2017-04-27T05:45:16.000Z,Pembahasan RUU Pemilu dan Larangan Minol Diperpanjang,pembahasan RUU pemilu dan larangan minol diperpanjang,negative,-0.16303629267022204
7189,2017-04-27T03:43:36.000Z,Suasana Ruang Rapat Paripurna II Gedung Nusantara II DPR RI ParipurnaDPR,suasana ruang rapat paripurna II gedung nusantara II DPR RI paripurnadpr,positive,0.3680368469877014
7228,2017-04-25T08:05:40.000Z,Komisi XI DPR RDP dengan POLRI Kemendikbud Kemenkes Kemen ESDM KemenkumHAM dan Kementerian BUMN membahas masukan RUU PNBP Komisi,komisi XI DPR RDP dengan POLRI kemendikbud kemenkes kemen ESDM kemenkumham dan kementerian BUMN membahas masukan RUU PNBP komisi,neutral,0.0
7271,2017-04-17T03:21:08.000Z,Baleg Setujui RUU Larangan Praktik Monopoli,baleg setujui RUU larangan praktik monopoli,negative,-0.6089103567919466
7301,2017-04-12T09:54:52.000Z,Baleg DPR RI Akan Membahas RUU Revisi UU ASN,baleg DPR RI akan membahas RUU revisi UU ASN,neutral,0.0
7320,2017-04-11T05:24:24.000Z,Rapat Paripurna DPR RI Setujui Dua Anggota BPK Terpilih,rapat paripurna DPR RI setujui dua anggota BPK terpilih,positive,0.4465681526609422
7359,2017-04-06T23:53:17.000Z,Kunjungan kerja Panja RUU Kebudayaan Komisi X DPR RI ke Provinsi Riau,kunjungan kerja panja RUU kebudayaan komisi kali DPR RI ke provinsi riau,positive,0.515992754694415
7435,2017-04-05T10:46:29.000Z,maaf sebelumnya pak di harapkan kebijakan pelayanan yg di berikan tdk hanya di jawa,maaf sebelumnya pak di harapkan kebijakan pelayanan yang di berikan tidak hanya di jawa,positive,0.4898245968833601
7438,2017-04-05T08:34:28.000Z,Komisi X DPR Setujui RUU Sisbuk,komisi kali DPR setujui RUU sisbuk,neutral,0.0
7441,2017-04-05T04:20:46.000Z,Mahasiswa Unpar Belajar Pembuatan Kebijakan ke DPR,mahasiswa unpar belajar pembuatan kebijakan ke DPR,positive,0.5267415375673765
7497,2017-04-03T05:03:08.000Z,Komisi V DPR RI Gelar FGD Himpun Masukan RUU SDA,komisi v DPR RI gelar FGD himpun masukan RUU SDA,negative,-0.3680368469877013
7604,2017-03-22T23:16:04.000Z,Hukuman mati bagi yg korupsi lebih baik dibuat bersama drpd merevisi undang undang,hukuman mati bagi yang korupsi lebih baik dibuat bersama daripada merevisi undang undang,positive,0.617437415277614
7607,2017-03-22T16:28:30.000Z,Meskipun sudah ada Surat Presiden Surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,meskipun sudah ada surat presiden surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,negative,-0.8019956080183265
7654,2017-03-20T04:58:38.000Z,Ini Lanjutan Revisi UU MD,ini lanjutan revisi UU MD,neutral,0.0
7681,2017-03-15T14:57:06.000Z,Keluhan Rakyat tidak dihiraukan oleh wakil RAKYAT sperti kenaikan Listrik tidak ada kebijakan penyesuain Ekonomi Rakyat Spt Mencekik leher,keluhan rakyat tidak dihiraukan oleh wakil RAKYAT seperti kenaikan listrik tidak ada kebijakan penyesuain ekonomi rakyat seperti mencekik leher,negative,-0.9652805255860977
7789,2017-03-09T04:16:00.000Z,APAKAH BENAR DPR RI rumah aspirasi rakyat ????? Mengapa TDK semuanya aspirasi tersampaikan ????,APAKAH BENAR DPR RI rumah aspirasi rakyat ? ? mengapa TIDAK semuanya aspirasi tersampaikan ? ?,positive,0.6939464897828936
7818,2017-03-06T12:28:35.000Z,Reses Ketua Komisi VIII DPR RI Kunjungi MUI Tangsel,reses ketua komisi VII DPR RI kunjungi MUI tangsel,positive,0.819240034925201
7860,2017-03-02T01:16:00.000Z,Raja Salman akan Bertemu Pimpinan DPR Meski masa reses anggota DPR diimbau hadir saat pidato Raja VivaNews,raja salman akan bertemu pimpinan DPR meski masa reses anggota DPR diimbau hadir saat pidato raja vivanews,positive,0.2022886949696695
7881,2017-02-28T12:29:36.000Z,DPR Terkini Rapat Paripurna DPR RI Setujui Lima Anggota BSBI,DPR terkini rapat paripurna DPR RI setujui lima anggota BSBI,positive,0.6289226359922112
7891,2017-02-28T05:17:24.000Z,Anggota DPR RI Reses Iskandar Jelaskan Kondisi OKI,anggota DPR RI reses iskandar jelaskan kondisi OKI,neutral,0.0
8066,2017-02-10T14:03:31.000Z,RUU Sistem Perbukuan Kelar Dibahas info,RUU sistem perbukuan kelar dibahas info,positive,0.6289226359922112
8083,2017-02-08T14:17:25.000Z,RDP Dengan Komisi X DPR RI Wakil Ketua APKASI Minta RUU PNPB Lebih Berkeadilan Kepada Daerah Go Riau,RDP dengan komisi kali DPR RI wakil ketua APKASI meminta RUU PNPB lebih berkeadilan kepada daerah go riau,positive,0.6477585189201407
8100,2017-02-08T09:14:24.000Z,RUU Kebudayaan Diharapkan Tingkatkan Ketahanan Budaya info,RUU kebudayaan diharapkan tingkatkan ketahanan budaya info,positive,0.34849771974735094
8112,2017-02-07T22:04:35.000Z,DPR RI Undang Ichsan YL Rumuskan RUU Kepalang Merahan,DPR RI undang ichsan YL rumuskan RUU kepalang merahan,negative,-0.6289226359922112
8132,2017-02-06T04:20:27.000Z,Panja Komisi VIII DPR RI RUU ttg Penyelenggaraan Ibadah Haji dan Umrah RDP Kepala Pusat Kesehatan Haji Kemenkes Dipimpin Deding Ishak,panja komisi VII DPR RI RUU tentang penyelenggaraan ibadah haji dan umrah RDP kepala pusat kesehatan haji kemenkes dipimpin deding ishak,positive,0.7739149202363939
8171,2017-02-01T02:14:23.000Z,Mari bersama cegah korupsi! karya,mari bersama cegah korupsi ! karya,positive,0.8883235362958214
8182,2017-01-31T07:08:16.000Z,Anggota DPR Kebijakan Trump Menodai Citra AS,anggota DPR kebijakan trump menodai citra AS,negative,-0.6289226359922112
8190,2017-01-31T04:51:42.000Z,Reses Anggota DPR RI Venna Melinda SE via,reses anggota DPR RI venna melinda SE via,neutral,0.0
8201,2017-01-30T13:48:42.000Z,Wacana Penambahan Jumlah Anggota DPR RI Ini Kata Ketua Pansus RUU Pemilu Lukman Edy Go Riau,wacana penambahan jumlah anggota DPR RI ini kata ketua pansus RUU pemilu lukman edy go riau,negative,-0.5159927546944149
8247,2017-01-25T18:25:32.000Z,Memberikan masukan penyusunan RUU Migas,memberikan masukan penyusunan RUU migas,neutral,0.0
8288,2017-01-24T16:23:12.000Z,Bendera Merah Putih Dan Kalimat Tauhid Pada Rapat Paripurna DPR RI ke via,bendera merah putih dan kalimat tauhid pada rapat paripurna DPR RI ke via,negative,-0.819240034925201
8309,2017-01-24T07:14:38.000Z,Bab Larangan dalam RUU Larangan Minol Belum Capai Titik Temu,bab larangan dalam RUU larangan minol belum capai titik temu,negative,-0.7055513108518819
