no,score_annotator 1,category_annotator 1,score_annotator 2,category_annotator 2,score_annotator 3,category_annotator 3,score_annotator 4,category_annotator 4,score_annotator 5,category_annotator 5
12388,-1,Slightly Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
11265,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11049,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
11677,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9367,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11195,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative
8762,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10263,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative
10391,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12401,1,Slightly Positive,1,Slightly Positive,-2,Moderately Negative,-2,Moderately Negative,1,Slightly Positive
10571,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative
12163,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-2,Moderately Negative
12018,2,Moderately Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
12133,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
11918,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
12264,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
4471,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8553,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-2,Moderately Negative
9034,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11812,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11533,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
12370,-2,Moderately Negative,1,Slightly Positive,1,Slightly Positive,-2,Moderately Negative,1,Slightly Positive
8770,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9250,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative
10827,0,Neutral,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative
9687,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
9301,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9190,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10663,-2,Moderately Negative,-3,Very Negative,-4,Extremely Negative,-3,Very Negative,-3,Very Negative
9590,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
11654,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
12909,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10229,0,Neutral,0,Neutral,0,Neutral,-2,Moderately Negative,0,Neutral
9187,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10649,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative
10545,-3,Very Negative,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative
12928,-1,Slightly Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative
12953,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9016,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative
9706,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11336,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
8930,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
9054,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
8588,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
10468,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12369,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
8843,-2,Moderately Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative
12984,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8558,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11755,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11758,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
12476,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12065,-3,Very Negative,-4,Extremely Negative,-3,Very Negative,-3,Very Negative,-4,Extremely Negative
9649,0,Neutral,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,0,Neutral
12584,0,Neutral,-1,Slightly Negative,0,Neutral,0,Neutral,-1,Slightly Negative
11145,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9222,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10887,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
12350,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8965,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative
12448,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
9460,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative
10662,1,Slightly Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
11840,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
12884,-1,Slightly Negative,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
12893,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
12142,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
9245,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4497,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
12607,-4,Extremely Negative,-2,Moderately Negative,-2,Moderately Negative,-4,Extremely Negative,-2,Moderately Negative
11326,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12283,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
12285,2,Moderately Positive,-2,Moderately Negative,1,Slightly Positive,1,Slightly Positive,-2,Moderately Negative
12336,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
12850,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
10853,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9936,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9934,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
10226,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative
10660,-2,Moderately Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
12517,-4,Extremely Negative,0,Neutral,-4,Extremely Negative,-4,Extremely Negative,0,Neutral
11000,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11934,-2,Moderately Negative,1,Slightly Positive,0,Neutral,-2,Moderately Negative,1,Slightly Positive
10726,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
8747,0,Neutral,-1,Slightly Negative,0,Neutral,1,Slightly Positive,-1,Slightly Negative
13190,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-3,Very Negative,-3,Very Negative
12203,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11510,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
13138,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-3,Very Negative,-4,Extremely Negative
11526,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8622,0,Neutral,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral
9403,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
10543,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
4317,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
9818,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral,1,Slightly Positive
4690,-3,Very Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
9646,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10869,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9499,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative,-1,Slightly Negative
9841,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12994,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative
9292,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10146,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
9279,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative
4532,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
10964,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
4352,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
10903,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9013,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12421,-2,Moderately Negative,-3,Very Negative,0,Neutral,-2,Moderately Negative,-3,Very Negative
12506,0,Neutral,-2,Moderately Negative,0,Neutral,0,Neutral,-2,Moderately Negative
10142,1,Slightly Positive,2,Moderately Positive,1,Slightly Positive,1,Slightly Positive,2,Moderately Positive
12720,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
12809,0,Neutral,0,Neutral,1,Slightly Positive,0,Neutral,0,Neutral
11837,2,Moderately Positive,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,-1,Slightly Negative
10786,0,Neutral,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,0,Neutral
9739,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-3,Very Negative,-3,Very Negative
12385,-1,Slightly Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative
13174,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
10199,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
13032,0,Neutral,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral
10706,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
8827,0,Neutral,1,Slightly Positive,1,Slightly Positive,-1,Slightly Negative,1,Slightly Positive
11066,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9986,-1,Slightly Negative,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative
9593,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11408,-2,Moderately Negative,-4,Extremely Negative,-3,Very Negative,-3,Very Negative,-4,Extremely Negative
9816,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative,-4,Extremely Negative
11459,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11891,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9067,0,Neutral,0,Neutral,0,Neutral,-1,Slightly Negative,0,Neutral
11857,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
12537,-1,Slightly Negative,-1,Slightly Negative,-2,Moderately Negative,-1,Slightly Negative,-1,Slightly Negative
11201,0,Neutral,0,Neutral,-1,Slightly Negative,-1,Slightly Negative,0,Neutral
9161,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11068,0,Neutral,1,Slightly Positive,0,Neutral,1,Slightly Positive,1,Slightly Positive
10010,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
4451,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative
11824,0,Neutral,0,Neutral,0,Neutral,0,Neutral,0,Neutral
11943,-1,Slightly Negative,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
9991,-2,Moderately Negative,-3,Very Negative,-2,Moderately Negative,-2,Moderately Negative,-3,Very Negative
4371,-1,Slightly Negative,-2,Moderately Negative,-2,Moderately Negative,-1,Slightly Negative,-2,Moderately Negative
11555,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
8823,0,Neutral,-3,Very Negative,-3,Very Negative,-3,Very Negative,-3,Very Negative
12863,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
11864,0,Neutral,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive,1,Slightly Positive
13057,0,Neutral,-3,Very Negative,-1,Slightly Negative,-2,Moderately Negative,-3,Very Negative
10018,0,Neutral,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative,-2,Moderately Negative
12590,-3,Very Negative,0,Neutral,0,Neutral,-3,Very Negative,0,Neutral
8726,0,Neutral,1,Slightly Positive,1,Slightly Positive,0,Neutral,1,Slightly Positive
