no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,teks_translated
4497,2017-12-05T05:42:04.000Z,Melangsungkan Rapat Paripurna DPR RI Ke Masa Persidangan II Th Sidang Selasa membahas agenda Setujui lap Baleg ttg Prolegnas setujui RUU SDA Kebidanan serta setujui perpanjangan pembahasan RUU Terorisme Karantina Kesehatan dpr,melangsungkan rapat paripurna DPR RI ke masa persidangan II tahu sidang selasa membahas agenda setujui lap baleg tentang prolegnas setujui RUU SDA kebidanan serta setujui perpanjangan pembahasan RUU terorisme karantina kesehatan dpr,0.0,0.0,0.0,neutral,"convene a plenary meeting of the Republic of Indonesia's DPR for the trial period II know that Tuesday's session discussed the agenda to approve the Legislative Legislative Assembly regarding Prolegnas, approve the midwifery law bill and approve the delay postponement extended stalled discussion of the DPR's Health Quarantine Terrorism Bill"
4532,2017-12-02T14:38:38.000Z,Anda terlihat pintar bermain kata debat tapi anda blm terlihat pintar merealisasikan janji sbg wakil rakyat yg sebagian besar merasakan hidup bertambah sulit utk disampaikan ke pemerintah bukan hanya pro semua kebijakan,anda terlihat pintar bermain kata debat tetapi anda belum terlihat pintar merealisasikan janji sebagai wakil rakyat yang sebagian besar merasakan hidup bertambah sulit untuk disampaikan ke pemerintah bukan hanya pro semua kebijakan,-2.0,-0.5,0.0,negative,"you look smart at playing with the word debate but you don't look smart about realizing your promises as a representative of the people, most of whom find life increasingly difficult to convey to the government, not just pro all policies"
4609,2017-11-22T14:47:16.000Z,Komisi II Terima DIM RUU Pertanahan dari Pemerintah,komisi II terima DIM RUU pertanahan dari pemerintah,0.0,0.0,0.0,neutral,Commission II receives the land bill from the government
4657,2017-11-18T10:54:25.000Z,Peresmian Rumah Aspirasi H Bisri Romli Anggota DPR RI oleh CakImindiKotaBatik,peresmian rumah aspirasi h bisri romli anggota DPR RI oleh cakimindikotabatik,0.8,0.2,0.447213595499958,positive,"inauguration of the aspirational house of H Bisri Romli, a member of the Indonesian House of Representatives by Cakimindikotabatik"
4690,2017-11-15T11:09:58.000Z,Yg aangat konyol pengacara bilang SN adalah wakil rakyat yg seharusnya di hormati krn membawa aspirasi rakyat lha KORUPSI emang aspirasi rakyat utekmu wes kebuntel duit! Rakyat pun muak kok bisanya membawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,yang aangat konyol pengacara bilang SN adalah wakil rakyat yang seharusnya di hormati karena membawa aspirasi rakyat lah KORUPSI memang aspirasi rakyat utekmu wes kebuntel duit ! rakyat pun muak kok bisanya membawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,-3.8,-0.95,0.4472135954999578,negative,what is ridiculously absurd foolishly shameful is that the lawyer says sn is the people's representative who should be respected because he carries the people's aspirations. Corrupt corrupted bribery fraud. It's the people's aspirations. Utekmu wes is hoarding money! the people are disgusted sick of fed up tired how come they usually carry the people's name becak without waton rims jeplak ra nganggo utek
4742,2017-11-10T10:32:14.000Z,Tarif Listrik Siasat Jonan dan Upaya Selamatkan PLN,tarif listrik siasat jonan dan upaya selamatkan PLN,-0.2,-0.05,0.447213595499958,negative,Jonan's manipulative scheme trick conspiracy electricity tariffs and efforts to save PLN
4755,2017-11-09T04:29:32.000Z,bagus silakan lihat!,bagus silakan lihat !,0.6,0.15,0.8944271909999157,positive,nice please have a look!
4877,2017-10-25T13:31:56.000Z,DPR RI Setujui RUU Menjadi UU Baru Klik,DPR RI setujui RUU menjadi UU baru klik,0.4,0.1,0.5477225575051662,positive,"The Indonesian House of Representatives approves the bill to become a new law, click"
4881,2017-10-25T11:41:04.000Z,Rapat Paripurna DPR RI Setujui UU APBN,rapat paripurna DPR RI setujui UU APBN,0.2,0.05,0.447213595499958,positive,RI DPR plenary meeting approves APBN law
5021,2017-10-24T06:45:43.000Z,Massa demonstran penolakan perppu ormas menjadi undang undang hingga saat ini masih bertahan di depan Gedung DPR Jakarta ros,massa demonstran penolakan perppu ormas menjadi undang undang hingga saat ini masih bertahan di depan gedung DPR jakarta ros,-1.2,-0.3,0.8366600265340756,negative,Masses of demonstrators rejecting the Perppu on mass organizations becoming law are still standing in front of the Jakarta Ros DPR building
5023,2017-10-24T05:30:54.000Z,Buruh Desak DPR RI Tolak Pengesahan Perppu Ormas FSPMI,buruh desak DPR RI tolak pengesahan perppu ormas FSPMI,-0.8,-0.2,0.447213595499958,negative,workers pressured demanded protested urged DPR RI rejected refused opposed protest ratification of Perppu mass organization FSPMI
5067,2017-10-23T07:27:44.000Z,Kegiatan ini dlm rangka pelaksanaan fungsi pengawasan atas rekomendasi Rapat Paripurna bulan September,kegiatan ini dalam rangka pelaksanaan fungsi pengawasan atas rekomendasi rapat paripurna bulan september,0.2,0.05,0.447213595499958,positive,This activity is in the context of implementing dodging avoiding accountability and supervision function over the recommendations of the plenary meeting in September
5094,2017-10-21T12:29:59.000Z,naib RUU KUHP bagaimana ya?,naib RUU KUHP bagaimana ya ?,-1.0,-0.25,0.7071067811865476,negative,How about naib ruu KUHP?
5249,2017-10-04T10:46:44.000Z,Panja DPR RI Harus Segera Menyelesaikan RUU Terorisme,panja DPR RI harus segera menyelesaikan RUU terorisme,-0.6,-0.15,0.8944271909999161,negative,The DPR RI working committee must immediately complete the terrorism bill
5259,2017-10-03T06:26:54.000Z,RUU Penyiaran Berikan Ruang Bagi Iklan Rokok,RUU penyiaran berikan ruang bagi iklan rokok,-0.4,-0.1,0.5477225575051662,negative,Broadcasting bill provides space for cigarette advertising
5292,2017-09-28T05:48:21.000Z,RUU SDA Harus Fokus Pada Pengelolaan Sumber Daya Air,RUU SDA harus fokus pada pengelolaan sumber daya air,0.0,0.0,0.0,neutral,The SDA bill must focus on water resource management
5317,2017-09-26T04:34:07.000Z,Rapat Paripurna pagi ini dipimpin oleh Bang,rapat paripurna pagi ini dipimpin oleh bang,0.0,0.0,0.0,neutral,This morning's plenary meeting was chaired by Bang
5327,2017-09-26T01:54:04.000Z,Agenda DPR Selasa Pukul WIB Komisi VIII DPR Rapat Panja RUU Penyelenggaraan Ibadah Haji dan Umrah agendaDPR,agenda DPR selasa pukul WIB komisi VII DPR rapat panja RUU penyelenggaraan ibadah haji dan umrah agendadpr,0.0,0.0,0.0,neutral,DPR agenda Tuesday at WIB Commission VII DPR meeting of the draft committee on the implementation of the Hajj and Umrah pilgrimage agendaDPR
5365,2017-09-20T06:13:26.000Z,Komisi X DPR RI Sosialisasikan Undang Undang Sistem Perbukuan di Kalimantan Selatan KunkerDPR,komisi kali DPR RI sosialisasikan undang undang sistem perbukuan di kalimantan selatan kunkerdpr,0.8,0.2,0.447213595499958,positive,RI DPR commission to socialize book system law in South Kalimantan Kunkerdpr
5409,2017-09-14T16:10:47.000Z,Selesaikan RUU Lembaga Pendidikan Keagamaan Pesantren,selesaikan RUU lembaga pendidikan keagamaan pesantren,0.6,0.15,0.894427190999916,positive,complete the bill for Islamic boarding school religious education institutions
5445,2017-09-12T19:00:49.000Z,Survei Kerenggangan DPR dan Masyarakat Sangat Jauh,survei kerenggangan DPR dan masyarakat sangat jauh,-2.0,-0.5,0.0,negative,survey of the estrangement between the DPR and society is very far away
5450,2017-09-12T12:39:07.000Z,Kementerian PPPA dan DPR RI sepakat bentuk panja RUU PKS Papua,kementerian PAPA dan DPR RI sepakat bentuk panja RUU PKS papua,1.0,0.25,0.0,positive,Papa's ministry and the Republic of Indonesia's DPR agree on the form of the Papuan PKS bill working committee
5486,2017-09-09T23:23:06.000Z,Jadi jangan percaya omongan anggota dpr yg ternyata sering berbeda dg kebijakan Partainya,jadi jangan percaya omongan anggota dpr yang ternyata sering berbeda dengan kebijakan partainya,-2.0,-0.5,0.0,negative,"So don't believe what DPR members say, which often differs from their party's policies"
5506,2017-09-07T03:04:11.000Z,Godok RUU Penyadapan Anggota DPR Kami Nggak Ada Takutnya,godok RUU penyadapan anggota DPR kami tidak ada takutnya,0.0,0.0,0.7071067811865476,neutral,There is no fear of the bill for wiretapping of our DPR members
5519,2017-09-06T02:07:03.000Z,Agenda DPR Rabu Pukul WIB Baleg DPR Rapat Panja Harmonisasi RUU Penyiaran agendaDPR,agenda DPR rabu pukul WIB baleg DPR rapat panja harmonisasi RUU penyiaran agendadpr,0.0,0.0,0.0,neutral,DPR agenda Wednesday at WIT Baleg DPR meeting of committee on harmonization of bill on broadcasting DPR agenda
5526,2017-09-05T02:22:02.000Z,Agak salah ruangan Kak Ga spt ruang rapat paripurna di ruang rapat komisi badan mungkin hampir ga ada tidur ini battleground,agak salah ruangan kak tidak seperti ruang rapat paripurna di ruang rapat komisi badan mungkin hampir tidak ada tidur ini battleground,0.6,0.15,0.5477225575051662,positive,"It's a bit wrong, bro, it's not like the plenary meeting room, the body commission meeting room, maybe there's almost no sleep, this is a battleground"
5575,2017-08-29T12:01:34.000Z,Saya suka video H Sukiman S Pd M M Rapat Paripurna DPR RI Agustus,saya suka video h sukiman si pada sama sama rapat paripurna DPR RI agustus,0.8,0.2,0.447213595499958,positive,I like the video of H Sukiman Si at the DPR RI plenary meeting in August
5580,2017-08-29T07:36:14.000Z,Untuk keperluan reses para anggota DPR,untuk keperluan reses para anggota DPR,0.0,0.0,0.0,neutral,for the purposes of constituency outreach service community visits to DPR members
5581,2017-08-29T07:10:54.000Z,Selama DPR Telah Menyelesaikan RUU Nasional RUU DPRRI,selama DPR telah menyelesaikan RUU nasional RUU DPRRI,0.6,0.15,0.5477225575051662,positive,"as long as the DPR has completed the national bill, the DPRI bill"
5610,2017-08-29T03:21:18.000Z,Ke depan perencanaan legislasi di DPR hendaknya tidak hanya bertumpu pada sejumlah RUU yang ditargetkan HUTDPR,ke depan perencanaan legislasi di DPR hendaknya tidak hanya bertumpu pada sejumlah RUU yang ditargetkan HUTDPR,-0.4,-0.1,0.5477225575051662,negative,"In the future, legislative planning in the DPR should not only rely on a number of bills targeted by the DPR"
5641,2017-08-25T12:52:52.000Z,Anggota DPR Tidak Hadiri Sidang Paripurna RUU APBN Karena Gedung DPR Miring?,anggota DPR tidak hadiri sidang paripurna RUU APBN karena gedung DPR miring ?,-2.0,-0.5,0.7071067811865476,negative,DPR members absent failed irresponsible unaccountable i plenary session of APBN bill because the DPR building is tilted?
5661,2017-08-24T07:25:11.000Z,info RUU APBN,info RUU APBN,0.0,0.0,0.0,neutral,APBN bill info
5669,2017-08-23T09:24:53.000Z,Penerapan TV digital masih terganjal RUU Penyiaran di DPR RI,penerapan TV digital masih terganjal RUU penyiaran di DPR RI,-1.6,-0.4,0.5477225575051661,negative,The implementation of digital TV is still hampered by a broadcasting bill in the Republic of Indonesia DPR
5723,2017-08-16T07:19:20.000Z,memimpin Rapat Paripurna DPR RI,memimpin rapat paripurna DPR RI,0.0,0.0,0.0,neutral,chaired the plenary session of the Indonesian House of Representatives
5791,2017-08-10T01:29:08.000Z,reses dpr ri dasco kunjungi KGN kab tangerang,reses dpr ri dasco kunjungi KANGEN kab tangerang,0.0,0.0,0.0,neutral,Constituency Outreach Service Community Visit DPR RI Dasco Visit Kangen Tangerang Regency
5808,2017-08-07T14:28:31.000Z,Sebagai anggota DPR RI dalam agenda reses,sebagai anggota DPR RI dalam agenda reses,0.0,0.0,0.0,neutral,as a member of the Indonesian House of Representatives on the constituency outreach service community visit agenda
5824,2017-08-04T08:50:08.000Z,Ini komentar anggota DPR soal RUU KUP,ini komentar anggota DPR soal RUU KUP,0.0,0.0,0.0,neutral,These are the comments of DPR members regarding the coup bill
5893,2017-07-27T04:50:01.000Z,Pendapat Akhir Pemerintah terhadap RUU tentang Pertanggungjawaban atas Pelaksanaan APBN TA ParipurnaDPR,pendapat akhir pemerintah terhadap RUU tentang pertanggungjawaban atas pelaksanaan APBN TA paripurnadpr,0.0,0.0,0.0,neutral,the government's final opinion on the bill regarding accountability for evading dodging avoiding accountability sanaan apbn ta plenary session
5921,2017-07-24T13:22:46.000Z,Saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU Prioritas tahun,saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU prioritas tahun,0.0,0.0,0.0,neutral,"Currently, the legislative body is trying to avoid accountability by preparing the National Legislative Program for the year's priority bill"
5928,2017-07-24T04:52:27.000Z,Dorong Segera Seriusi RUU Redenominasi,dorong segera seriusi RUU redenominasi,-0.6,-0.15,0.8944271909999161,negative,Urge to immediately take the redenomination bill seriously
5933,2017-07-23T13:36:06.000Z,KONI Bojonegoro Adakan Kejuaraan Voli,KONI bojonegoro adakan kejuaraan voli,-0.4,-0.1,0.894427190999916,negative,Koni Bojonegoro holds a volleyball championship
5940,2017-07-22T16:13:26.000Z,KAMI INGIN TAHU seberapa ingin anda bila ILC Selasa Juli mengangkat topik UU Pemilu Presidential Threshold RT bila setuju,KAMI INGIN TAHU seberapa ingin anda bila ILC selasa juli mengangkat topik UU pemilu presidential threshold RT bila setuju,0.0,0.0,0.0,neutral,We want to know how much you would like it if the ILC on Tuesday July raised the topic of the RT presidential threshold election law if you agree
5954,2017-07-22T06:53:23.000Z,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna DagelanWalkOut,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna dagelanwalkout,-2.4,-0.6,0.5477225575051661,negative,DPR members m evading dodging avoiding accountability instead walked out protest boycott refused during the plenary meeting slapstick walked out protest boycott refused
6011,2017-07-20T18:01:26.000Z,Sidang Paripurna di DPR RI yang membahas RUU Pemilu telah selesai dilaksanakan Ach ElshintaNewsAndTalk,sidang paripurna di DPR RI yang membahas RUU pemilu telah selesai dilaksanakan ach elshintanewsandtalk,0.0,0.0,0.0,neutral,the plenary session at the DPR RI to discuss the election bill has been completed ach elshintanewsandtalk
6051,2017-07-20T15:16:42.000Z,LintasINFO Suasana jelang Rapat Paripurna di Rep,lintasinfo suasana jelang rapat paripurna di rep,0.0,0.0,0.0,neutral,Lintasinfo atmosphere ahead of the plenary meeting at the rep
6056,2017-07-20T14:40:57.000Z,Kelihatan RUU Pemilu yg akan disahkan malam ini ngga jd perhatian masyarakat TL,kelihatan RUU pemilu yang akan disahkan malam ini tidak jadi perhatian masyarakat TL,-1.0,-0.25,0.0,negative,It seems that the election bill that will be successfully passed tonight is not of concern to the public
6101,2017-07-20T03:46:34.000Z,Bukan pengesahan RUU Pemilu dipimpin,bukan pengesahan RUU pemilu dipimpin,0.0,0.0,0.0,neutral,not ratification of the election bill led
6165,2017-07-14T03:03:54.000Z,Saya juga kaget membacanya,saya juga kaget membacanya,-0.2,-0.05,0.447213595499958,negative,I was also surprised to read it
6241,2017-07-11T12:44:00.000Z,Mereka yg di DPR bukan wakil rakyat tetapi wakil partai Merka bekerja ntuk kpntingn partai bukan untuk rakyat Bikin RUU sja gabecus,mereka yang di DPR bukan wakil rakyat tetapi wakil partai mereka bekerja ntuk kpntingn partai bukan untuk rakyat bikin RUU saja gabecus,-3.8,-0.95,0.4472135954999578,negative,"those in the DPR are not representatives of the people but party representatives, they work for the interests of the party, not for the people, just make bills gabecus"
6278,2017-07-10T04:10:15.000Z,Banggar DPR raker dengan Menkopolhukam Menko Kemaritiman membahas RKA K L RUU APBNP BanggarDPR,banggar DPR raker dengan menkopolhukam menko kemaritiman membahas RKA ke l RUU APBNP banggardpr,0.0,0.0,0.0,neutral,"Bangar DPR working meeting with Coordinating Minister for Political, Legal and Security Affairs Coordinating Minister for Maritime Affairs discussing RKA to L bill APBNNP BangardPR"
6283,2017-07-09T08:01:50.000Z,DPR Lanjutkan Pembahasan RUU Perkelapasawitan,DPR lanjutkan pembahasan RUU perkelapasawitan,0.0,0.0,0.0,neutral,DPR continues discussion of the palm oil plantation bill
6330,2017-07-06T13:12:50.000Z,RUU KUHP Ditargetkan Selesai Periode Ini,RUU KUHP ditargetkan selesai periode ini,-0.2,-0.05,0.447213595499958,negative,The Criminal Code bill is targeted for completion this period
6376,2017-07-05T00:48:25.000Z,Usul segera hentikan manuver politik yg tdk berguna buang waktu spt hak angket thdp agar fokus ke RUU Pemilu,usul segera hentikan manuver politik yang tidak berguna buang waktu seperti hak angket terhadap agar fokus ke RUU pemilu,-1.6,-0.4,0.8944271909999159,negative,"suggestion to immediately stop political maneuvers that are useless and waste of time, such as parliamentary oversight accountability inquiry, to focus on the election bill"
6397,2017-07-04T02:18:01.000Z,Apakah RUU Pemilu akan selesai di Bulan Juli ?,apakah RUU pemilu akan selesai di bulan juli ?,-0.8,-0.2,0.447213595499958,negative,Will the election bill be completed in July?
6407,2017-07-03T07:42:24.000Z,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,-0.2,-0.05,1.0954451150103324,negative,I say that men pressured demanded protested urged the DPR to pass the anti-terror law as soon as possible
6414,2017-07-02T09:53:32.000Z,kpn RUU anti teroris jd? Hrs nunggu ada anggota DPR jd korbankah spt hak angket yg dikebut ketika ada yg kena e ktp?,kapan RUU anti teroris jd ? harus menunggu ada anggota DPR jadi korbankah seperti hak angket yang dikebut ketika ada yang kena e ktp ?,-2.8,-0.7,0.4472135954999578,negative,When will the anti-terrorist bill come into effect? do you have to wait for a member of the DPR to become a victim like the parliamentary oversight accountability inquiry that was rushed when someone was hit with an e-KTP?
6451,2017-06-27T22:05:34.000Z,Mrk masuk utk brkembang biak di NKRI KRN SUAMINYA SDH TERDESAK! MSH JG DEBAT MSLH MSK DLM RUU!GOBLOK PENDONOR ISIS X?,mereka masuk untuk brkembang biak di NKRI KARENA SUAMINYA SUDAH TERDESAK ! MASIH JUGA DEBAT MASALAH MASUK DALAM RUU ! GOBLOK PENDONOR ISIS X ?,-4.0,-1.0,0.0,negative,they entered to breed in the country because their husbands were pressured demanded protested pressed! Still debating whether the issue is included in the bill! stupid ISIS donor x?
6482,2017-06-19T09:35:04.000Z,Untuk Majukan PT Tidak Bisa Diberikan Kebijakan Sama,untuk majukan PT tidak bisa diberikan kebijakan sama,0.0,0.0,0.0,neutral,to advance PT cannot be given the same policy
6607,2017-06-11T10:54:35.000Z,punya fungsi mengawasi yg dijamin undang undang,punya fungsi mengawasi yang dijamin undang undang,0.0,0.0,0.0,neutral,has a supervisory function guaranteed by law
6616,2017-06-10T14:29:02.000Z,kngen juga leat Sinetron walk out sambil menangis dr pas pengesahan kenaikan BBM di era Rezim dulu,kangen juga leat sinetron walk out sambil menangis dari pas pengesahan kenaikan BBM di era rezim dulu,-1.6,-0.4,0.8944271909999161,negative,I also miss the soap operas walked out protest boycott refused while crying from the time of approval price hike increase burden unaffordable rising fuel costs in the previous regime era
6674,2017-06-06T07:36:51.000Z,Smoga secepatnya bisa di syahkan RUU Palang Merah Cc,semoga secepatnya bisa di syahkan RUU palang merah cc,1.0,0.25,0.0,positive,Hopefully the Red Cross CC bill can be passed as soon as possible
6684,2017-06-05T10:40:13.000Z,Nunggu RUU penyiaran di sahkan oleh,menunggu RUU penyiaran di sahkan oleh,-1.0,-0.25,0.0,negative,waiting for the broadcasting bill to be ratified by
6744,2017-05-31T01:58:50.000Z,Maju terus Pak Segera dipercepat Pengesahannya,maju terus pak segera dipercepat pengesahannya,1.4,0.35,0.5477225575051661,positive,"keep going, sir, speed up the approval"
6807,2017-05-29T09:50:52.000Z,Anggota Pansus RUU Pemilu mengajukan penambahan Kursi Anggota DPR sedangkan Kemendagri meminta atau kursi,anggota pansus RUU pemilu mengajukan penambahan kursi anggota DPR sedangkan kemendagri meminta atau kursi,-0.6,-0.15,0.5477225575051662,negative,"members of the special committee on election bills proposed additional seats for members of the DPR, while the Ministry of Home Affairs asked for seats"
6830,2017-05-28T14:28:32.000Z,Anggota DPR yg tarik ulur RUU Antiteroris mungkin bagian dri teroris itu sendiri,anggota DPR yang tarik ulur RUU antiteroris mungkin bagian dari teroris itu sendiri,-3.6,-0.9,0.5477225575051661,negative,DPR members who are pushing back and forth on the anti-terrorist bill may be part of the terrorists themselves
6838,2017-05-27T12:10:20.000Z,Selamat jalan bhayangkaraku,selamat jalan bhayangkaraku,0.0,0.0,0.0,neutral,goodbye my bhayangkara
6841,2017-05-27T03:33:09.000Z,Kapan nih RUU terorisme diketok palu ?,kapan ini RUU terorisme diketok palu ?,-0.8,-0.2,0.4472135954999579,negative,When will this hammer knock on the terrorism bill?
6874,2017-05-23T02:36:14.000Z,RUU Pemilu Segera Divoting,RUU pemilu segera divoting,0.0,0.0,0.0,neutral,The election bill will be put to a vote immediately
6878,2017-05-22T07:36:12.000Z,Hanya Dihadiri Anggota DPR Pembahasan RUU KUHP Ditunda,hanya dihadiri anggota DPR pembahasan RUU KUHP ditunda,-2.2,-0.55,0.4472135954999579,negative,"attended only by members of the DPR, the discussion of the Criminal Code bill was postponed, stalled, failed"
6884,2017-05-21T02:23:44.000Z,kapan RUU ASN untuk honorer di sahkan pak DPR RI,kapan RUU ASN untuk honorer di sahkan pak DPR RI,-1.0,-0.25,0.0,negative,"When will the ASN bill for honorary salaries be ratified, Mr. DPR?"
6885,2017-05-20T10:24:31.000Z,meminta untuk fokus dalam membahas penyelesaian RUU Pemilu,meminta untuk fokus dalam membahas penyelesaian RUU pemilu,-0.8,-0.2,0.447213595499958,negative,asked to focus on discussing the resolution of the election bill
6992,2017-05-12T02:16:36.000Z,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,0.6,0.15,0.8944271909999161,positive,"Sir, correct the policy for providing clean drinking water, OK?"
7035,2017-05-03T07:16:06.000Z,Undang undang ? N O L B E S A R ! ! ! ! ! ! !,undang undang ? n o l b e si a r ! ! ! ! ! ! !,-3.0,-0.75,0.0,negative,Constitution ? n o l b e si a r ! ! ! ! ! ! !
7041,2017-05-02T07:50:05.000Z,Internal Hanura Terbelah Sikapi Hak Angket KPK,internal hanura terbelah sikapi hak angket KPK,-0.4,-0.1,0.5477225575051662,negative,Hanura internally split over parliamentary oversight accountability inquiry KPK
7075,2017-04-29T03:50:08.000Z,RUU Pemilu menghadang Jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,RUU pemilu menghadang jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,-3.0,-0.75,0.0,negative,The election bill blocks Jokowi's KPK inquiry so that DPR members who are corrupt corrupted bribery fraud can escape the law.
7158,2017-04-27T05:45:16.000Z,Pembahasan RUU Pemilu dan Larangan Minol Diperpanjang,pembahasan RUU pemilu dan larangan minol diperpanjang,-0.6,-0.15,0.5477225575051662,negative,discussion of the election bill and the alcohol ban was extended
7189,2017-04-27T03:43:36.000Z,Suasana Ruang Rapat Paripurna II Gedung Nusantara II DPR RI ParipurnaDPR,suasana ruang rapat paripurna II gedung nusantara II DPR RI paripurnadpr,0.0,0.0,0.0,neutral,atmosphere of the plenary meeting room II of the Nusantara Building II of the Republic of Indonesia DPR plenary session
7228,2017-04-25T08:05:40.000Z,Komisi XI DPR RDP dengan POLRI Kemendikbud Kemenkes Kemen ESDM KemenkumHAM dan Kementerian BUMN membahas masukan RUU PNBP Komisi,komisi XI DPR RDP dengan POLRI kemendikbud kemenkes kemen ESDM kemenkumham dan kementerian BUMN membahas masukan RUU PNBP komisi,0.0,0.0,0.0,neutral,Commission
7271,2017-04-17T03:21:08.000Z,Baleg Setujui RUU Larangan Praktik Monopoli,baleg setujui RUU larangan praktik monopoli,0.6,0.15,0.5477225575051662,positive,Baleg approves bill prohibiting monopolistic practices
7301,2017-04-12T09:54:52.000Z,Baleg DPR RI Akan Membahas RUU Revisi UU ASN,baleg DPR RI akan membahas RUU revisi UU ASN,0.0,0.0,0.0,neutral,The DPR RI legislative body will discuss the bill for the revision of the ASN Law
7320,2017-04-11T05:24:24.000Z,Rapat Paripurna DPR RI Setujui Dua Anggota BPK Terpilih,rapat paripurna DPR RI setujui dua anggota BPK terpilih,0.2,0.05,0.447213595499958,positive,The plenary meeting of the Indonesian House of Representatives approved the two elected members of the BPK
7359,2017-04-06T23:53:17.000Z,Kunjungan kerja Panja RUU Kebudayaan Komisi X DPR RI ke Provinsi Riau,kunjungan kerja panja RUU kebudayaan komisi kali DPR RI ke provinsi riau,0.8,0.2,0.447213595499958,positive,DPR RI commission's cultural bill committee working visit to Riau province
7435,2017-04-05T10:46:29.000Z,maaf sebelumnya pak di harapkan kebijakan pelayanan yg di berikan tdk hanya di jawa,maaf sebelumnya pak di harapkan kebijakan pelayanan yang di berikan tidak hanya di jawa,-0.2,-0.05,0.447213595499958,negative,"Sorry in advance, sir, we hope that the service policy provided is not only in Java"
7438,2017-04-05T08:34:28.000Z,Komisi X DPR Setujui RUU Sisbuk,komisi kali DPR setujui RUU sisbuk,0.8,0.2,0.447213595499958,positive,DPR commission approves Sisbuk bill
7441,2017-04-05T04:20:46.000Z,Mahasiswa Unpar Belajar Pembuatan Kebijakan ke DPR,mahasiswa unpar belajar pembuatan kebijakan ke DPR,0.6,0.15,0.5477225575051662,positive,Unpar students study policy making for the DPR
7497,2017-04-03T05:03:08.000Z,Komisi V DPR RI Gelar FGD Himpun Masukan RUU SDA,komisi v DPR RI gelar FGD himpun masukan RUU SDA,0.8,0.2,0.447213595499958,positive,Commission V of the Indonesian House of Representatives holds an FGD to collect input on the SDA bill
7604,2017-03-22T23:16:04.000Z,Hukuman mati bagi yg korupsi lebih baik dibuat bersama drpd merevisi undang undang,hukuman mati bagi yang korupsi lebih baik dibuat bersama daripada merevisi undang undang,0.0,0.0,0.0,neutral,The death penalty for corrupt bribery fraud is better to create together than to revise the law
7607,2017-03-22T16:28:30.000Z,Meskipun sudah ada Surat Presiden Surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,meskipun sudah ada surat presiden surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,0.0,0.0,0.0,neutral,"even though there has been a letter from the president's presidential decree to the leadership of the Indonesian House of Representatives, the government confirms its position regarding this matter"
7654,2017-03-20T04:58:38.000Z,Ini Lanjutan Revisi UU MD,ini lanjutan revisi UU MD,0.0,0.0,0.0,neutral,This is a continuation of UU MD's revision
7681,2017-03-15T14:57:06.000Z,Keluhan Rakyat tidak dihiraukan oleh wakil RAKYAT sperti kenaikan Listrik tidak ada kebijakan penyesuain Ekonomi Rakyat Spt Mencekik leher,keluhan rakyat tidak dihiraukan oleh wakil RAKYAT seperti kenaikan listrik tidak ada kebijakan penyesuain ekonomi rakyat seperti mencekik leher,-3.2,-0.8,0.8366600265340756,negative,people's complaints ignored ignored ignored ignored by people's representatives such as electricity price hike unaffordable burden there are no policies to adjust the people's economy such as strangling the neck
7789,2017-03-09T04:16:00.000Z,APAKAH BENAR DPR RI rumah aspirasi rakyat ????? Mengapa TDK semuanya aspirasi tersampaikan ????,APAKAH BENAR DPR RI rumah aspirasi rakyat ? ? mengapa TIDAK semuanya aspirasi tersampaikan ? ?,-2.0,-0.5,0.0,negative,Is it true that the DPR is the house of the people's aspirations? ?  why questioning failed disappointed not all aspirations delivered? ?
7818,2017-03-06T12:28:35.000Z,Reses Ketua Komisi VIII DPR RI Kunjungi MUI Tangsel,reses ketua komisi VII DPR RI kunjungi MUI tangsel,0.0,0.0,0.0,neutral,constituency outreach service community visit chairman of commission vii DPR RI visit mui tangsel
7860,2017-03-02T01:16:00.000Z,Raja Salman akan Bertemu Pimpinan DPR Meski masa reses anggota DPR diimbau hadir saat pidato Raja VivaNews,raja salman akan bertemu pimpinan DPR meski masa reses anggota DPR diimbau hadir saat pidato raja vivanews,0.0,0.0,0.0,neutral,King Salman will meet DPR leaders even though during the constituency outreach service community visit DPR members are encouraged to attend the king's speech Vivanews
