no,timestamp,teks,teks_processed,sentiment,compound_score,dominant_topic,topic_probability
2032,2016-08-12T04:10:36.000Z,Kebijakan salah arah kayak gini Buang dana negara buat hal yang g perlu dipermasalahkan Yang harus diurus,kebijakan salah arah seperti begini buang dana negara buat hal yang tidak perlu dipermasalahkan yang harus diurus,negative,-0.9484,2,0.7069
2034,2016-08-12T03:48:38.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS PKS,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS PKS,negative,-0.8979,6,0.4859
2035,2016-08-12T03:36:54.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS,negative,-0.8979,6,0.6263
2036,2016-08-12T03:36:53.000Z,KabarPKS Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS,kabarpks reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS,negative,-0.8979,6,0.6263
2037,2016-08-12T03:36:51.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan yang beredar di masyara PKS,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan yang beredar di masyara PKS,negative,-0.7097,6,0.5800
2038,2016-08-12T03:36:51.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan yang bere CintaKerjaHarmoni,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan yang bere cintakerjaharmoni,negative,-0.7762,6,0.7101
2039,2016-08-12T03:36:49.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan yang beredar di masyarakat d,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan yang beredar di masyarakat di,negative,-0.6331,6,0.5801
2040,2016-08-12T03:08:50.000Z,BeritaPKS Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan via,beritapks reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan via,negative,-0.7762,6,0.7101
2041,2016-08-12T03:08:50.000Z,PKSBekerja Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS,pksbekerja reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS,negative,-0.8979,6,0.6263
2042,2016-08-12T03:00:24.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan yang beredar di ma MunasPKS,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan yang beredar di sama munaspks,negative,-0.1945,6,0.7101
2043,2016-08-12T03:00:24.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS via,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS via,negative,-0.8979,6,0.6263
2044,2016-08-12T03:00:23.000Z,Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS Makanan yang bereda via,reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS makanan yang bereda via,negative,-0.7762,6,0.7101
2045,2016-08-12T03:00:21.000Z,KEREN Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS PKS menang,KEREN reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS PKS menang,negative,-0.7718,1,0.4074
2046,2016-08-12T02:54:02.000Z,PKSselaluDiHati Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS,pksselaludihati reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS,negative,-0.8979,6,0.6263
2047,2016-08-12T02:53:09.000Z,NEWS Reses Anggota DPR Dicurhati Warga Soal Jajanan Tidak Sehat Hingga BPJS,NEWS reses anggota DPR dicurhati warga soal jajanan tidak sehat hingga BPJS,negative,-0.8979,6,0.4956
2055,2016-08-11T13:26:02.000Z,Reses ke Harian Radar Tegal Rabu,reses ke harian radar tegal rabu,negative,-0.6369,4,0.7236
2058,2016-08-11T11:32:09.000Z,BaBekasihtau Anggota DPR Ganti Menteri Jangan Ganti Kebijakan,babekasihtau anggota DPR ganti menteri jangan ganti kebijakan,negative,-0.4168,6,0.4256
2060,2016-08-11T09:53:06.000Z,Ini Kendala dalam Pembahasan RUU Karantina Komisi IV DPR RI dan pemerintah masih belum satu suara dalam pemb,ini kendala dalam pembahasan RUU karantina komisi IV DPR RI dan pemerintah masih belum satu suara dalam pemb,negative,-0.5413,1,0.8037
2067,2016-08-11T05:01:48.000Z,Hari ini diadakan reses anggota DPR RI dari Fraksi PKS H dr Adang Sudrajat MM di Kec Solokan Jeruk,hari ini diadakan reses anggota DPR RI dari fraksi PKS h dari adang sudrajat MM di kec solokan jeruk,negative,-0.8531,4,0.5862
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,negative,-0.1630,4,0.5002
2083,2016-08-10T04:03:50.000Z,DPR RI belum akan prioritaskan penyelesaian RUU Keamanan Nasional Kamnas menjadi Undang undang pd tahun ini,DPR RI belum akan prioritaskan penyelesaian RUU keamanan nasional kamnas menjadi undang undang pada tahun ini,negative,-0.4436,5,0.5493
2084,2016-08-10T01:42:10.000Z,Masa Reses Anggota DPR RI Balik Kampung ke Lingga Anggota Komisi VI DPR RI Nyat Kadir menjemput aspirasi ke,masa reses anggota DPR RI balik kampung ke lingga anggota komisi VI DPR RI nyat kadir menjemput aspirasi ke,negative,-0.6289,4,0.3389
2087,2016-08-10T00:54:20.000Z,AndalasToday Agst Polisi Gayo Lues Gagalkan Penyelundupan kg Ganja Wakil Rakyat Sumut kritik Kebijakan Mendikbud Koran,andalastoday agst polisi gayo lues gagalkan penyelundupan kg ganja wakil rakyat sumut kritik kebijakan mendikbud koran,negative,-0.2023,2,0.5095
2090,2016-08-09T15:38:53.000Z,Ketua DPR RI tanggapi Kebijakan Mendikbud terkait Sistem Full Day School SJO PURWAKARTA Ketua Dewan Perwaki,ketua DPR RI tanggapi kebijakan mendikbud terkait sistem full day school SJO PURWAKARTA ketua dewan perwaki,negative,-0.6289,2,0.5768
2091,2016-08-09T15:38:52.000Z,InfoBandung Ketua DPR RI tanggapi Kebijakan Mendikbud terkait Sistem Full Day School,infobandung ketua DPR RI tanggapi kebijakan mendikbud terkait sistem full day school,negative,-0.6289,2,0.5168
2094,2016-08-09T14:55:39.000Z,PNS Anggota DPR kebijakan full day school belum tepat,PNS anggota DPR kebijakan full day school belum tepat,negative,-0.3237,4,0.3557
2096,2016-08-09T14:53:17.000Z,NEWS Anggota DPR kebijakan full day school belum tepat GaleriBerita,NEWS anggota DPR kebijakan full day school belum tepat galeriberita,negative,-0.3237,4,0.6447
2099,2016-08-09T14:47:24.000Z,Anggota DPR kebijakan full day school belum tepat via antaranews,anggota DPR kebijakan full day school belum tepat via antaranews,negative,-0.1511,4,0.6447
2100,2016-08-09T14:47:06.000Z,Anggota DPR kebijakan full day school belum tepat Style Manado,anggota DPR kebijakan full day school belum tepat style manado,negative,-0.1511,4,0.6447
2101,2016-08-09T14:46:40.000Z,Anggota DPR kebijakan full day school belum tepat Education News,anggota DPR kebijakan full day school belum tepat education news,negative,-0.1511,4,0.6447
2102,2016-08-09T14:46:36.000Z,Anggota DPR kebijakan full day school belum tepat Anggota DPR RI Sofyan Tan memin,anggota DPR kebijakan full day school belum tepat anggota DPR RI sofyan tan memin,negative,-0.3237,4,0.5002
2107,2016-08-09T14:39:10.000Z,Ketua DPR RI tanggapi Kebijakan Mendikbud terkait Sistem Full Day School,ketua DPR RI tanggapi kebijakan mendikbud terkait sistem full day school,negative,-0.6289,2,0.5168
2109,2016-08-09T14:33:42.000Z,Anggota DPR kebijakan full day school belum tepat Antara RingkasBerita,anggota DPR kebijakan full day school belum tepat antara ringkasberita,negative,-0.1511,4,0.5002
2111,2016-08-09T14:32:30.000Z,TuitIndonesia Anggota DPR kebijakan full day school belum tepat Indonesia Tuit,tuitindonesia anggota DPR kebijakan full day school belum tepat indonesia tuit,negative,-0.1511,4,0.7197
2112,2016-08-09T14:26:22.000Z,Anggota DPR kebijakan full day school belum tepat Indonesia,anggota DPR kebijakan full day school belum tepat indonesia,negative,-0.1511,4,0.6346
2113,2016-08-09T14:18:08.000Z,sekilas info Anggota DPR kebijakan full day school belum tepat,sekilas info anggota DPR kebijakan full day school belum tepat,negative,-0.1511,4,0.3556
2114,2016-08-09T14:16:06.000Z,First in Last Out First Win Anggota DPR kebijakan full day school belum tepat,first ini last out first win anggota DPR kebijakan full day school belum tepat,negative,-0.1511,4,0.5002
2116,2016-08-09T13:19:02.000Z,Salah satunya adalah Anggota Komisi X DPR RI Reni Marlinawati ia menilai permasalahan guru,salah satunya adalah anggota komisi kali DPR RI reni marlinawati ia menilai permasalahan guru,negative,-0.7184,1,0.4075
2119,2016-08-09T09:50:04.000Z,Fadli Zon Ini Memalukan Indonesia Kok Seperti Mesin ATM,fadli zon ini memalukan indonesia kok seperti mesin ATM,negative,-0.2023,3,0.4824
2122,2016-08-09T10:21:05.000Z,Masa Reses Anggota DPR RI Balik Kampung ke Lingga Kepulauan Riau Kepri,masa reses anggota DPR RI balik kampung ke lingga kepulauan riau kepri,negative,-0.6289,6,0.4769
2132,2016-08-09T06:52:55.000Z,Jgn setiap menteri baru buat kebijakan baru Soal tawuran anak sklh bkn krn pulang cpt lambat tp itu krn mentalny jelek,jangan setiap menteri baru buat kebijakan baru soal tawuran anak sekolah bukan karena pulang cepat lambat tetapi itu karena mentalny jelek,negative,-0.9296,2,0.4782
2135,2016-08-09T04:46:29.000Z,Reses Anggota DPR RI di Toraja Disambut Unjuk Rasa MAKASSAR Reses Anggota,reses anggota DPR RI di toraja disambut unjuk rasa MAKASSAR reses anggota,negative,-0.7456,4,0.7743
2139,2016-08-08T17:20:36.000Z,Ketua Komisi V DPR RI Manfaatkan Masa Reses Berkunjung Ke Desa Perbatasan desacikadu,ketua komisi v DPR RI manfaatkan masa reses berkunjung ke desa perbatasan desacikadu,negative,-0.7125,4,0.5674
2140,2016-08-08T16:19:21.000Z,Ketua Komisi V DPR RI Manfaatkan Masa Reses Berkunjung Ke Desa Perbatasan,ketua komisi v DPR RI manfaatkan masa reses berkunjung ke desa perbatasan,negative,-0.7125,4,0.5674
2141,2016-08-08T15:42:13.000Z,DPR RI sos pip senam sht n komba msk ayam lodho Sukses semuanya!,DPR RI sos pip senam sht n komba masuk ayam lodho sukses semuanya !,negative,-0.3076,4,0.4922
2143,2016-08-08T12:30:50.000Z,Reses Anggota DPR RI Wali Kota Terima Banyak Keluhan Warga MEDAN WOL Wali Kota Medan Dzulmi Eldin mene,reses anggota DPR RI wali kota terima banyak keluhan warga MEDAN WOL wali kota medan dzulmi eldin mene,negative,-0.6289,4,0.8331
2152,2016-08-08T04:02:22.000Z,CILONGOK Dengan ditandu dan diiringi oleh grup Kenthongan Anggota Komisi VIII DPR RI dari,CILONGOK dengan ditandu dan diiringi oleh grup kenthongan anggota komisi VII DPR RI dari,negative,-0.7125,4,0.3518
2153,2016-08-08T03:56:49.000Z,CILONGOK Dengan ditandu dan diiringi oleh grup Kenthongan Anggota Komisi VIII DPR RI dari Fraksi Demokrat K,CILONGOK dengan ditandu dan diiringi oleh grup kenthongan anggota komisi VII DPR RI dari fraksi demokrat ke,negative,-0.7125,3,0.4979
2161,2016-08-07T01:51:15.000Z,Harusnya wakil rakyat DPR MPR DPRD mwngawal setiap kebijakan yg dibuat RI bukan karena atas keasamaan visi,harusnya wakil rakyat DPR MPR DPRD mwngawal setiap kebijakan yang dibuat RI bukan karena atas keasamaan visi,negative,-0.3680,5,0.5524
2168,2016-08-05T13:46:41.000Z,Radio ANDIKA Anggota Komisi III DPR RI Arsul Sani menegaskan penerapan Undang Undang Amnesti Pajak tidak,radio ANDIKA anggota komisi II DPR RI arsul sani menegaskan penerapan undang undang amnesti pajak tidak,negative,-0.5160,4,0.4519
2170,2016-08-05T12:58:33.000Z,Karna Pelabuhan Tikus Banyak di Bintan Anggota DPR RI Sosialisai RUU Teroris,karena pelabuhan tikus banyak di bintan anggota DPR RI sosialisai RUU teroris,negative,-0.6289,3,0.4980
2173,2016-08-05T09:02:04.000Z,Ada hal baru yang diributkan anggota DPR Bukan soal Undang Undang bukan pula soal kinerja Pemerintah Tapi,ada hal baru yang diributkan anggota DPR bukan soal undang undang bukan pula soal kinerja pemerintah tetapi,negative,-0.4230,6,0.6604
2174,2016-08-05T08:46:27.000Z,Ada hal baru yang diributkan anggota DPR Bukan soal Undang Undang bukan pula soal kinerja Pemerintah,ada hal baru yang diributkan anggota DPR bukan soal undang undang bukan pula soal kinerja pemerintah,negative,-0.6824,6,0.6608
2178,2016-08-04T13:23:30.000Z,MAYORITAS FRAKSI DPR RI TOLAK RUU MINUMAN BERALKOHOL,MAYORITAS FRAKSI DPR RI TOLAK RUU MINUMAN BERALKOHOL,negative,-0.2960,5,0.4094
2185,2016-08-04T11:11:19.000Z,Pada Masa Reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR Reses,pada masa reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR reses,negative,-0.7184,3,0.3400
2186,2016-08-04T11:11:08.000Z,Masa Reses sendiri tertuang dalam UU MD No dan Peraturan DPR No tentang Tata Tertib DPR Reses,masa reses sendiri tertuang dalam UU MD no dan peraturan DPR no tentang tata tertib DPR reses,negative,-0.8161,2,0.4314
2189,2016-08-04T11:10:10.000Z,Berdasarkan Tatib DPR Pasal ayat hasil Reses tersebut dilaporkan secara tertulis oleh Anggota kepada Fraksi masing masing Reses,berdasarkan tatib DPR pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing reses,negative,-0.2023,3,0.5158
2194,2016-08-04T11:05:12.000Z,Masa Reses bukan berarti para Anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya Reses,masa reses bukan berarti para anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya reses,negative,-0.7891,5,0.7728
2195,2016-08-04T11:04:05.000Z,Masa Reses dimana Anggota DPR datang ke Dapil maupun daerah lainnya untuk menyerap aspirasi masyarakat Reses,masa reses dimana anggota DPR datang ke dapil maupun daerah lainnya untuk menyerap aspirasi masyarakat reses,negative,-0.6369,4,0.4689
2197,2016-08-04T06:54:56.000Z,Paling tidak kaji ulang lagilah !!! Batalkan Kebijakan Bebas Visa Jokowi,paling tidak kaji ulang lagilah ! ! batalkan kebijakan bebas visa jokowi,negative,-0.9376,4,0.3517
2200,2016-08-03T12:51:54.000Z,Dengan adanya RUU Pertembakauan maka kegiatan iklan promosi rokok menjadi leluasa TolakRUUPertembakauan,dengan adanya RUU pertembakauan maka kegiatan iklan promosi rokok menjadi leluasa tolakruupertembakauan,negative,-0.5267,4,0.3976
2201,2016-08-03T12:49:31.000Z,RUU Pertembakauan menyebabkan angka produksi rokok meningkat hingga milliyar batang per tahun TolakRUUPertembakauan,RUU pertembakauan menyebabkan angka produksi rokok meningkat hingga milliyar batang per tahun tolakruupertembakauan,negative,-0.7783,2,0.4421
2205,2016-08-02T15:19:52.000Z,Update tentang pergerakan TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI!!! via,update tentang pergerakan TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI ! ! via,negative,-0.7513,4,0.7710
2209,2016-08-02T08:03:48.000Z,Kebijakan Tol Laut di Maluku Utara Belum Efektif Anggota Komisi VI DPR RI infoTribun,kebijakan tol laut di maluku utara belum efektif anggota komisi VI DPR RI infotribun,negative,-0.3492,4,0.3315
2212,2016-08-02T00:31:37.000Z,Movement update TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI!!! lewat,movement update TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI ! ! lewat,negative,-0.6817,4,0.7710
2215,2016-08-01T12:17:50.000Z,Update tentang pergerakan TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI!!! lewat,update tentang pergerakan TOLAK PENGESAHAN RUU PERTEMBAKAUAN SEBAGAI RUU INISIATIF DPR RI ! ! lewat,negative,-0.5871,4,0.7710
2218,2016-08-01T07:28:53.000Z,Menjalankan amanat sebagai wakil rakyat pada rapat paripurna DPRD Kab Bogor hari ini AMY,menjalankan amanat sebagai wakil rakyat pada rapat paripurna DPRD kab bogor hari ini AMY,negative,-0.4588,3,0.6920
2221,2016-07-31T00:07:53.000Z,DPR RI DPRD DPD adalah wakil Rakyat dapilnya menampung aspirasi rakyat yg teriak jangan ikut ikutan teriak!sampaikan melalui Lembaga terkait,DPR RI DPRD DPD adalah wakil rakyat dapilnya menampung aspirasi rakyat yang teriak jangan ikut ikutan teriak ! sampaikan melalui lembaga terkait,negative,-0.7531,5,0.6670
2226,2016-07-29T15:20:09.000Z,RUU Pemberantasan Terorisme Mengatur Prosedur Menembak Tersangka Anggota DPR Mengaku Lebih Takut Lihat Cara Polisi,RUU pemberantasan terorisme mengatur prosedur menembak tersangka anggota DPR mengaku lebih takut lihat cara polisi,negative,-0.6966,1,0.3015
2234,2016-07-29T06:14:33.000Z,Pakades dan pak camat latihan menjadi anggota dewan at Ruang Rapat Paripurna DPR RI pic,pakades dan pak camat latihan menjadi anggota dewan at ruang rapat paripurna DPR RI pic,negative,-0.7184,1,0.7153
2241,2016-07-28T18:53:02.000Z,Reses Stefa Teruskan Keluhan Harapan Warga ke PT PGE Lahendong Anggota Komite III DPR RI asal Sulut Ir Ste,reses stefa teruskan keluhan harapan warga ke PT PGE lahendong anggota komite II DPR RI asal sulut ir ste,negative,-0.5766,4,0.7724
2253,2016-07-28T14:53:38.000Z,hmmm jadi biar dpr ri sejala sama kabinet? emang selain memasukkan orang partai ke kabinet gak ada cara,hmm jadi biar dpr ri sejala sama kabinet ? memang selain memasukkan orang partai ke kabinet tidak ada cara,negative,-0.3818,2,0.7084
2272,2016-07-28T03:41:14.000Z,reshuffle kabinet Krn seorang pjbt tdk menjalankannya kebijakan pemerintah yg perlu perhatian,reshuffle kabinet karena seorang pjbt tidak menjalankannya kebijakan pemerintah yang perlu perhatian,negative,-0.3818,2,0.6792
2290,2016-07-27T17:10:58.000Z,RUU Tembakau jgn mengekor penelitian barat kl mau jujur hrs ada penelitian mandiri itu baru cerdas bukan dicerdasin,RUU tembakau jangan mengekor penelitian barat jika mau jujur harus ada penelitian mandiri itu baru cerdas bukan dicerdasin,negative,-0.9371,4,0.7749
2291,2016-07-27T14:17:55.000Z,kom Nizar jatim Sy sebagai anggota DPR harus taat konstitusi dan taat kepada undang undang,kom nizar jatim saya sebagai anggota DPR harus taat konstitusi dan taat kepada undang undang,negative,-0.3818,1,0.4125
2292,2016-07-27T12:11:42.000Z,Wakil Ketua DPR RI Fadli Zon termasuk yang menyesalkan pencopotan Rizal Ramli tersebut Menurutnya keputusan,wakil ketua DPR RI fadli zon termasuk yang menyesalkan pencopotan rizal ramli tersebut menurutnya keputusan,negative,-0.8555,2,0.3269
2297,2016-07-27T08:56:21.000Z,Pengesahan H Sarifuddin Sudding sebagai Wakil Ketua w Fandy at Mahkamah Kehormatan Dewan DPR RI pic,pengesahan h sarifuddin sudding sebagai wakil ketua saya fandy at mahkamah kehormatan dewan DPR RI pic,negative,-0.2023,3,0.6522
2298,2016-07-27T08:44:03.000Z,Pengesahan H Sarifuddin Sudding sebagai Wakil Ketua w BigBos at Mahkamah Kehormatan Dewan DPR RI pic,pengesahan h sarifuddin sudding sebagai wakil ketua saya bigbos at mahkamah kehormatan dewan DPR RI pic,negative,-0.2023,3,0.6522
2306,2016-07-27T05:17:43.000Z,jd kabinet dikhususkan untk yg setuju dgn reklamasi kebijakan,jadi kabinet dikhususkan untuk yang setuju dengan reklamasi kebijakan,negative,-0.2960,2,0.5745
2309,2016-07-27T03:45:06.000Z,Smoga orang kaya dijakarta tidak membeli mobil gara kebijakan ini,semoga orang seperti dijakarta tidak membeli mobil gara kebijakan ini,negative,-0.6606,2,0.4656
2310,2016-07-27T03:38:33.000Z,Semoga kebijakan ini berhasil klo gagal sudah hrs dibatasi kendaraan dijakarta!,semoga kebijakan ini berhasil jika gagal sudah harus dibatasi kendaraan dijakarta !,negative,-0.6860,2,0.6745
2313,2016-07-27T02:28:32.000Z,Kebijakan yg dasarnya diskresi sendiri yg pake ngotot kok minta disetujui wakil rakyat Bikin aja aturan sendiri,kebijakan yang dasarnya diskresi sendiri yang pakai ngotot kok meminta disetujui wakil rakyat bikin saja aturan sendiri,negative,-0.9274,5,0.4130
2315,2016-07-26T23:11:30.000Z,DPRD DKI Dukung Kebijakan Genap Ganjil Dewan Perwakilan Rakyat Daerah DPRD DKI Jakarta menilai pemberlakua,DPRD DKI dukung kebijakan genap ganjil dewan perwakilan rakyat daerah DPRD DKI jakarta menilai pemberlakua,negative,-0.5413,5,0.7142
2317,2016-07-26T20:40:36.000Z,Dewan Perwakilan Rakyat Daerah DPRD DKI Jakarta menilai pemberlakuan kebijakan ganjil genap sudah siap untu,dewan perwakilan rakyat daerah DPRD DKI jakarta menilai pemberlakuan kebijakan ganjil genap sudah siap untu,negative,-0.3818,5,0.4693
2320,2016-07-26T19:13:52.000Z,TribunNews Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani berita,tribunnews anggota DPR sebut RUU tembakau untuk melindungi petani berita,negative,-0.6289,4,0.4993
2321,2016-07-26T19:03:39.000Z,Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang sedang dibahas,anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang sedang dibahas,negative,-0.6289,3,0.5871
2325,2016-07-26T17:42:35.000Z,Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang sedang dibahas bertujuan untuk melindu,anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang sedang dibahas bertujuan untuk melindu,negative,-0.6289,3,0.4307
2329,2016-07-26T17:38:16.000Z,Surya News Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang se,surya news anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang se,negative,-0.6289,4,0.4087
2332,2016-07-26T17:36:15.000Z,News Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang sed TU,news anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang sed ITU,negative,-0.6289,3,0.4987
2333,2016-07-26T17:36:01.000Z,tribunnews Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang se,tribunnews anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang se,negative,-0.6289,3,0.7157
2336,2016-07-26T17:24:18.000Z,Tribun Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani Taufiqulhadi menilai RUU Tembakau yang NewsToday,tribun anggota DPR sebut RUU tembakau untuk melindungi petani taufiqulhadi menilai RUU tembakau yang newstoday,negative,-0.6289,3,0.7733
2341,2016-07-26T10:30:55.000Z,Perppu Perlindungan Anak Disetujui Jadi RUU Komisi VIII DPR RI dan perwakilan pemerintah menyepakati Peratura,perppu perlindungan anak disetujui jadi RUU komisi VII DPR RI dan perwakilan pemerintah menyepakati peratura,negative,-0.4005,1,0.5085
2342,2016-07-26T10:15:11.000Z,Komisi VIII DPR RI Mensos Menteri PP PA menandatangani mini fraksi thdp dijadikannya RUU Perlindungan Anak Mur,komisi VII DPR RI mensos menteri PP APA menandatangani mini fraksi terhadap dijadikannya RUU perlindungan anak mur,negative,-0.5413,1,0.4975
2343,2016-07-26T09:59:53.000Z,DPR RI Taufiqul Hadi Asing Intervensi RUU Tembakau,DPR RI taufiqul hadi asing intervensi RUU tembakau,negative,-0.3680,4,0.7689
2347,2016-07-26T08:34:10.000Z,Komisi DPR RI brsm Mensos Menteri PP PA menandatangani mini fraksi thd dijadikannya RUU perlindungan anak Mur,komisi DPR RI brsm mensos menteri PP APA menandatangani mini fraksi thd dijadikannya RUU perlindungan anak mur,negative,-0.5413,2,0.4482
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadiri rapat paripurna wakil rakyat kepulauan riau kepri,negative,-0.7184,6,0.5784
2352,2016-07-26T05:03:20.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Marah batampos,gubernur dan plt sekda tidak hadiri rapat paripurna wakil rakyat marah batampos,negative,-0.9001,5,0.3653
2355,2016-07-26T03:47:57.000Z,Saya Mau tanya ada Ngak Dasar hukumnya Kebijakan dan UUnya Setau saya Tidak ada Kalau Mau Buat Dasar Hukum kebijakan UU Ya,saya mau tanya ada tidak dasar hukumnya kebijakan dan uunya setau saya tidak ada jika mau buat dasar hukum kebijakan UU ya,negative,-0.8225,3,0.5708
2359,2016-07-25T16:13:55.000Z,DPRD Tebo Gelar Rapat Paripurna Istimewa LKPJ Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Tebo gela,DPRD tebo gelar rapat paripurna istimewa LKPJ dewan perwakilan rakyat daerah DPRD kabupaten tebo gela,negative,-0.3680,5,0.8098
2371,2016-07-25T07:04:45.000Z,Tanpa mlalui Rapat Paripurna kbijakan yg sblumnya digodok di AKD hanyalah brsifat sbg wacana Cc,tanpa mlalui rapat paripurna kbijakan yang sblumnya digodok di AKD hanyalah brsifat sebagai wacana cc,negative,-0.7783,2,0.5488
2372,2016-07-25T07:02:43.000Z,Komisi VI Dewan Perwakilan Rakyat DPR sedang membahas revisi Undang undang Nomor Tahun tentang Bad,komisi VI dewan perwakilan rakyat DPR sedang membahas revisi undang undang nomor tahun tentang bad,negative,-0.5267,1,0.7185
2378,2016-07-24T04:54:24.000Z,Kebijakan salah sasaran prtumbuhan pesat itu dijawa hrsnya kereta cepat jalan sekelas tol dikebut,kebijakan salah sasaran prtumbuhan pesat itu dijawa harusnya kereta cepat jalan sekelas tol dikebut,negative,-0.4588,6,0.4860
2380,2016-07-24T01:49:02.000Z,Pansus RUU Terorisme Datangi Ponpes Al Mukmin Ngruki Pansus Revisi UU Terorisme DPR RI mendatangi Ponpes Al,pansus RUU terorisme datangi ponpes al mukmin ngruki pansus revisi UU terorisme DPR RI mendatangi ponpes al,negative,-0.7739,1,0.5252
2382,2016-07-23T18:16:56.000Z,TNI Serahkan Sepenuhnya Pembahasan RUU Terorisme JAKARTA Dewan Perwakilan Rakyat,TNI serahkan sepenuhnya pembahasan RUU terorisme JAKARTA dewan perwakilan rakyat,negative,-0.7983,1,0.5144
2384,2016-07-23T06:11:48.000Z,Catatan ISAC Kepada Pansus DPR RI Terkait Revisi Undang Undang Anti Terorisme,catatan ISAC kepada pansus DPR RI terkait revisi undang undang anti terorisme,negative,-0.8668,4,0.5443
2390,2016-07-22T11:35:32.000Z,Dewan Perwakilan Rakyat Daerah DKI Jakarta baru saja melakukan reses keduanya,dewan perwakilan rakyat daerah DKI jakarta baru saja melakukan reses keduanya,negative,-0.5267,5,0.7755
