no,timestamp,teks,teks_processed,sentiment,compound_score,tokens_lda,teks_lda_clean
3459,2016-05-25T11:27:26.000Z,Banyak Anggota DPR Bolos Pembahasan RUU Mandek Pembahasan sederet RUU di DPR mandek bahkan hingga beberapa,banyak anggota DPR bolos pembahasan RUU mandek pembahasan sederet RUU di DPR mandek bahkan hingga beberapa,negative,-0.7983,"['bolos', 'pembahasan', 'mandek', 'pembahasan', 'sederet', 'mandek']",bolos pembahasan mandek pembahasan sederet mandek
3461,2016-05-25T11:08:48.000Z,inikah wakil rakyat???? Makan gaji buta haram hukumnya,inikah wakil rakyat ? ? makan gaji buta haram hukumnya,negative,-0.6966,"['wakil', 'rakyat', 'makan', 'gaji', 'buta', 'haram', 'hukumnya']",wakil rakyat makan gaji buta haram hukumnya
3462,2016-05-25T11:00:28.000Z,PKS Tolak RUU Tax Amnesty Ini Alasannya Bekasimedia Fraksi PKS DPR RI bersikukuh menolak RUU Pengampu,PKS tolak RUU tax amnesty ini alasannya bekasimedia fraksi PKS DPR RI bersikukuh menolak RUU pengampu,negative,-0.516,"['pks', 'tolak', 'tax', 'amnesty', 'alasannya', 'bekasimedia', 'fraksi', 'pks', 'bersikukuh', 'menolak', 'pengampu']",pks tolak tax amnesty alasannya bekasimedia fraksi pks bersikukuh menolak pengampu
3464,2016-05-25T10:21:06.000Z,Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembahasan Ads,banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembahasan ads,negative,-0.7125,"['bolos', 'pembahasan', 'mandek', 'pembahasan', 'ads']",bolos pembahasan mandek pembahasan ads
3465,2016-05-25T10:16:21.000Z,Cekidot Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Detailnya,cekidot banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek detailnya,negative,-0.6289,"['cekidot', 'bolos', 'pembahasan', 'mandek', 'detailnya']",cekidot bolos pembahasan mandek detailnya
3466,2016-05-25T10:15:38.000Z,Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembahasan sederet RUU di DPR mandek bahkan h,banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembahasan sederet RUU di DPR mandek bahkan h,negative,-0.7983,"['bolos', 'pembahasan', 'mandek', 'pembahasan', 'sederet', 'mandek']",bolos pembahasan mandek pembahasan sederet mandek
3467,2016-05-25T10:08:18.000Z,Retweet FollowMe Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembaha NewsUpdate Today,retweet followme banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembaha newsupdate today,negative,-0.6369,"['retweet', 'followme', 'bolos', 'pembahasan', 'mandek', 'pembaha', 'newsupdate', 'today']",retweet followme bolos pembahasan mandek pembaha newsupdate today
3468,2016-05-25T10:08:01.000Z,Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembahasan sederet RUU di DPR mandek bahkan hingga beberapa masa sida,banyak anggota DPR bolos rapat pembahasan sejumlah RUU mandek pembahasan sederet RUU di DPR mandek bahkan hingga beberapa masa sida,negative,-0.7983,"['bolos', 'pembahasan', 'mandek', 'pembahasan', 'sederet', 'mandek', 'sida']",bolos pembahasan mandek pembahasan sederet mandek sida
3469,2016-05-25T10:03:30.000Z,Pimpinan Baleg geram banyak anggota DPR bolos saat bahas RUU politik,pimpinan baleg geram banyak anggota DPR bolos saat bahas RUU politik,negative,-0.6739,"['pimpinan', 'baleg', 'geram', 'bolos', 'bahas', 'politik']",pimpinan baleg geram bolos bahas politik
3486,2016-05-25T01:34:16.000Z,Agenda DPR Rabu Pukul WIB Seminar Nasional tentang RUU Pemberantasan Tindak Pidana Terorisme agendaDPR,agenda DPR rabu pukul WIB seminar nasional tentang RUU pemberantasan tindak pidana terorisme agendadpr,negative,-0.2808,"['agenda', 'rabu', 'wib', 'seminar', 'nasional', 'pemberantasan', 'tindak', 'pidana', 'terorisme', 'agendadpr']",agenda rabu wib seminar nasional pemberantasan tindak pidana terorisme agendadpr
3489,2016-05-24T21:46:36.000Z,Anggota Komisi II DPR RI dari PKS Hadi Mulyadi menilai banyak kebijakan dari Menteri Pemberdayaan Aparatur,anggota komisi II DPR RI dari PKS hadi mulyadi menilai banyak kebijakan dari menteri pemberdayaan aparatur,negative,-0.7125,"['komisi', 'pks', 'hadi', 'mulyadi', 'menilai', 'kebijakan', 'menteri', 'pemberdayaan', 'aparatur']",komisi pks hadi mulyadi menilai kebijakan menteri pemberdayaan aparatur
3490,2016-05-24T15:17:10.000Z,RUU miras hanya akan menjadi tulisan saja hukuman yg sbenarnya hanya dipertanggung jawabkan kepada tuhan nantinya,RUU miras hanya akan menjadi tulisan saja hukuman yang sbenarnya hanya dipertanggung jawabkan kepada tuhan nantinya,negative,-0.7783,"['miras', 'tulisan', 'hukuman', 'sbenarnya', 'dipertanggung', 'jawabkan', 'tuhan']",miras tulisan hukuman sbenarnya dipertanggung jawabkan tuhan
3497,2016-05-24T08:08:52.000Z,Kawal RUU Miras krn negri ini msh bnyk yg miskin dn nganggur jgn smpi miras merusak dgn memaksa aniaya org tua untuk beli miras,kawal RUU miras karena negeri ini masih banyak yang miskin dan nganggur jangan smpi miras merusak dengan memaksa aniaya orang tua untuk beli miras,negative,-0.9595,"['kawal', 'miras', 'negeri', 'miskin', 'nganggur', 'smpi', 'miras', 'merusak', 'memaksa', 'aniaya', 'orang', 'tua', 'beli', 'miras']",kawal miras negeri miskin nganggur smpi miras merusak memaksa aniaya orang tua beli miras
3498,2016-05-24T08:04:39.000Z,kawal RUU miras Karena biang kerok dari malapetaka kebiadaban peristiwa pemerkosaan dan pembunuhan terhadap anak dibawah umur,kawal RUU miras karena biang kerok dari malapetaka kebiadaban peristiwa pemerkosaan dan pembunuhan terhadap anak dibawah umur,negative,-0.8225,"['kawal', 'miras', 'biang', 'kerok', 'malapetaka', 'kebiadaban', 'peristiwa', 'pemerkosaan', 'pembunuhan', 'anak', 'dibawah', 'umur']",kawal miras biang kerok malapetaka kebiadaban peristiwa pemerkosaan pembunuhan anak dibawah umur
3501,2016-05-24T07:11:27.000Z,kom BK klo secara umum ruu nya tdk perlu km jelaskan satu persatu Scr grs bsr terkait keanekaragaman hayati,kom BK jika secara umum ruu nya tidak perlu kamu jelaskan satu persatu secara grs bsr terkait keanekaragaman hayati,negative,-0.8684,"['kom', 'persatu', 'grs', 'bsr', 'terkait', 'keanekaragaman', 'hayati']",kom persatu grs bsr terkait keanekaragaman hayati
3506,2016-05-24T07:00:49.000Z,Baleg DPR Rapat Koordinasi dengan Mahkamah Agung Komisi Yudisial membahas RUU tentang Jabatan Hakim DPRLive,baleg DPR rapat koordinasi dengan mahkamah agung komisi yudisial membahas RUU tentang jabatan hakim dprlive,negative,-0.2023,"['baleg', 'koordinasi', 'mahkamah', 'agung', 'komisi', 'yudisial', 'membahas', 'jabatan', 'hakim', 'dprlive']",baleg koordinasi mahkamah agung komisi yudisial membahas jabatan hakim dprlive
3509,2016-05-24T06:36:23.000Z,Komisi V DPR RDPU dengan Manajemen Karyawan Lion Air terkait kebijakan kebijakan Menteri Perhubungan DPRLive,komisi v DPR RDPU dengan manajemen karyawan lion air terkait kebijakan kebijakan menteri perhubungan dprlive,negative,-0.2023,"['komisi', 'rdpu', 'manajemen', 'karyawan', 'lion', 'air', 'terkait', 'kebijakan', 'kebijakan', 'menteri', 'perhubungan', 'dprlive']",komisi rdpu manajemen karyawan lion air terkait kebijakan kebijakan menteri perhubungan dprlive
3510,2016-05-24T03:35:49.000Z,Radio ANDIKA Dewan Perwakilan Rakyat DPR saat ini masih terus menggodok RUU Jabatan Hakim dimana salah,radio ANDIKA dewan perwakilan rakyat DPR saat ini masih terus menggodok RUU jabatan hakim dimana salah,negative,-0.7456,"['radio', 'andika', 'dewan', 'perwakilan', 'rakyat', 'menggodok', 'jabatan', 'hakim', 'dimana', 'salah']",radio andika dewan perwakilan rakyat menggodok jabatan hakim dimana salah
3517,2016-05-23T21:36:15.000Z,Fadli Zon nyatakan RUU Penghapusan kekerasan seksual masih dibahas Wakil Ketua Dewan Perwakilan Rakyat Repub,fadli zon menyatakan RUU penghapusan kekerasan seksual masih dibahas wakil ketua dewan perwakilan rakyat repub,negative,-0.1027,"['fadli', 'zon', 'penghapusan', 'kekerasan', 'seksual', 'dibahas', 'wakil', 'ketua', 'dewan', 'perwakilan', 'rakyat', 'repub']",fadli zon penghapusan kekerasan seksual dibahas wakil ketua dewan perwakilan rakyat repub
3520,2016-05-23T20:18:53.000Z,Fadli Zon nyatakan RUU Penghapusan kekerasan seksual masih dibahas Wakil Ketua Dewan Perwakilan Rakyat Re RT,fadli zon menyatakan RUU penghapusan kekerasan seksual masih dibahas wakil ketua dewan perwakilan rakyat re RT,negative,-0.1027,"['fadli', 'zon', 'penghapusan', 'kekerasan', 'seksual', 'dibahas', 'wakil', 'ketua', 'dewan', 'perwakilan', 'rakyat']",fadli zon penghapusan kekerasan seksual dibahas wakil ketua dewan perwakilan rakyat
3523,2016-05-23T12:43:00.000Z,Kami dari Komite III sgt menunggu diSAHkannya RUU Minuman Beralkohol o yg seharusnya Tuntas Juni SaveAnakBangsa,kami dari komite II sangat menunggu disahkannya RUU minuman beralkohol o yang seharusnya tuntas juni saveanakbangsa,negative,-0.2716,"['komite', 'menunggu', 'disahkannya', 'minuman', 'beralkohol', 'tuntas', 'juni', 'saveanakbangsa']",komite menunggu disahkannya minuman beralkohol tuntas juni saveanakbangsa
3535,2016-05-23T07:46:16.000Z,Tweeps hari ini Mei Panja RUU Pengampunan Pajak mulai bekerja lagi!,tweeps hari ini mei panja RUU pengampunan pajak mulai bekerja lagi !,negative,-0.4389,"['tweeps', 'mei', 'panja', 'pengampunan', 'pajak']",tweeps mei panja pengampunan pajak
3536,2016-05-23T07:24:14.000Z,Baleg DPR RDPU dengan Hakim ad hoc terkait masukan RUU Jabatan Hakim DPRLive,baleg DPR RDPU dengan hakim ada hoc terkait masukan RUU jabatan hakim dprlive,negative,-0.6289,"['baleg', 'rdpu', 'hakim', 'hoc', 'terkait', 'masukan', 'jabatan', 'hakim', 'dprlive']",baleg rdpu hakim hoc terkait masukan jabatan hakim dprlive
3539,2016-05-23T04:52:11.000Z,RUU Jabatan Hakim ya ya ya at Ruang Rapat Badan Legislasi DPR RI pic,RUU jabatan hakim ya ya ya at ruang rapat badan legislasi DPR RI pic,negative,-0.6289,"['jabatan', 'hakim', 'ruang', 'badan', 'legislasi', 'pic']",jabatan hakim ruang badan legislasi pic
3541,2016-05-23T03:11:02.000Z,harus paham kebijakan perpajakan Indonesia bisa goyang perekonomian negara lain,harus paham kebijakan perpajakan indonesia bisa goyang perekonomian negara lain,negative,-0.9371,"['paham', 'kebijakan', 'perpajakan', 'indonesia', 'goyang', 'perekonomian', 'negara']",paham kebijakan perpajakan indonesia goyang perekonomian negara
3543,2016-05-23T02:29:26.000Z,ReklamasiJakarta adlh kebijakan bodoh krn bertentangan dgn konsep desentralisasi nambah kemacetan jkt,reklamasijakarta adalah kebijakan bodoh karena bertentangan dengan konsep desentralisasi menambah kemacetan jakarta,negative,-0.6369,"['reklamasijakarta', 'kebijakan', 'bodoh', 'bertentangan', 'konsep', 'desentralisasi', 'menambah', 'kemacetan', 'jakarta']",reklamasijakarta kebijakan bodoh bertentangan konsep desentralisasi menambah kemacetan jakarta
3548,2016-05-22T07:19:08.000Z,Anggota DPR RI asal dapil Pasuruan Probolinggo Mukhamad Misbakhun menilai bahwa pengesahan Undang Undang Nomor,anggota DPR RI asal dapil pasuruan probolinggo mukhamad misbakhun menilai bahwa pengesahan undang undang nomor,negative,-0.6369,"['dapil', 'pasuruan', 'probolinggo', 'mukhamad', 'misbakhun', 'menilai', 'pengesahan', 'undang', 'undang', 'nomor']",dapil pasuruan probolinggo mukhamad misbakhun menilai pengesahan undang undang nomor
3549,2016-05-22T00:31:41.000Z,Reses di Siak Anggota DPR RI Sayed Abubakar A Assegaf Tinjau Infrastruktur Buruk,reses di siak anggota DPR RI sayed abubakar a assegaf tinjau infrastruktur buruk,negative,-0.516,"['reses', 'siak', 'sayed', 'abubakar', 'assegaf', 'tinjau', 'infrastruktur', 'buruk']",reses siak sayed abubakar assegaf tinjau infrastruktur buruk
3555,2016-05-21T11:49:07.000Z,Semuanya kena pengampunan pajak bila RUU ini disahkan oleh Mimin pun bakal kena pengampunan pajak,semuanya kena pengampunan pajak bila RUU ini disahkan oleh admin pun bakal kena pengampunan pajak,negative,-0.8807,"['kena', 'pengampunan', 'pajak', 'disahkan', 'admin', 'kena', 'pengampunan', 'pajak']",kena pengampunan pajak disahkan admin kena pengampunan pajak
3569,2016-05-20T07:55:37.000Z,Rapat Paripurna DPR ke Sepi Wakil Rakyat DPR RI menggelar rapat paripurna ke masa persidang,rapat paripurna DPR ke sepi wakil rakyat DPR RI menggelar rapat paripurna ke masa persidang,negative,-0.6289,"['sepi', 'wakil', 'rakyat', 'menggelar', 'persidang']",sepi wakil rakyat menggelar persidang
3572,2016-05-20T07:50:11.000Z,Retweet FollowMe Rapat Paripurna DPR ke Sepi Wakil Rakyat DPR RI menggela NewsUpdate Today,retweet followme rapat paripurna DPR ke sepi wakil rakyat DPR RI menggela newsupdate today,negative,-0.6289,"['retweet', 'followme', 'sepi', 'wakil', 'rakyat', 'menggela', 'newsupdate', 'today']",retweet followme sepi wakil rakyat menggela newsupdate today
3573,2016-05-20T07:49:38.000Z,DPR RI menggelar rapat paripurna ke masa persidangan V tahun di Komplek Parlemen Sen,DPR RI menggelar rapat paripurna ke masa persidangan v tahun di komplek parlemen sen,negative,-0.5267,"['menggelar', 'persidangan', 'komplek', 'parlemen', 'sen']",menggelar persidangan komplek parlemen sen
3584,2016-05-20T06:00:04.000Z,Jadi inget lagunya Bang Iwan Wakil Rakyat Seharusnya Merakyat Bukan Ngambek karna Duit reses tidak tunai ndak,jadi ingat lagunya bang iwan wakil rakyat seharusnya merakyat bukan mengambek karena duit reses tidak tunai indak,negative,-0.8306,"['lagunya', 'bang', 'iwan', 'wakil', 'rakyat', 'merakyat', 'mengambek', 'duit', 'reses', 'tunai', 'indak']",lagunya bang iwan wakil rakyat merakyat mengambek duit reses tunai indak
3586,2016-05-20T04:42:10.000Z,DPR menggelar rapat paripurna membahas Rancangan APBN Namun rapat ini hanya dihadiri anggota DPR,DPR menggelar rapat paripurna membahas rancangan APBN tetapi rapat ini hanya dihadiri anggota DPR,negative,-0.7456,"['menggelar', 'membahas', 'rancangan', 'apbn', 'dihadiri']",menggelar membahas rancangan apbn dihadiri
3587,2016-05-20T04:27:49.000Z,Paripurna RAPBN Hanya Dihadiri Anggota DPR ke Mana Wakil Rakyat? DPR menggelar rapat paripurna membahas Rancangan APBN,paripurna RAPBN hanya dihadiri anggota DPR ke mana wakil rakyat ? DPR menggelar rapat paripurna membahas rancangan APBN,negative,-0.6289,"['rapbn', 'dihadiri', 'wakil', 'rakyat', 'menggelar', 'membahas', 'rancangan', 'apbn']",rapbn dihadiri wakil rakyat menggelar membahas rancangan apbn
3588,2016-05-20T04:24:49.000Z,Paripurna RAPBN Hanya Dihadiri Anggota DPR ke Mana Wakil Rakyat? DPR menggelar rapat paripurna mem,paripurna RAPBN hanya dihadiri anggota DPR ke mana wakil rakyat ? DPR menggelar rapat paripurna mem,negative,-0.6289,"['rapbn', 'dihadiri', 'wakil', 'rakyat', 'menggelar', 'mem']",rapbn dihadiri wakil rakyat menggelar mem
3603,2016-05-19T06:20:01.000Z,Rombak undang undang tu saya akan letak jawatan takdak masalah Tapi kalau dia tak rombak saya tunggulah pasal,rombak undang undang itu saya akan letak jawatan takdak masalah tetapi jika dia tak rombak saya tunggulah pasal,negative,-0.1591,"['rombak', 'undang', 'undang', 'letak', 'jawatan', 'takdak', 'rombak', 'tunggulah', 'pasal']",rombak undang undang letak jawatan takdak rombak tunggulah pasal
3626,2016-05-18T05:41:41.000Z,Wakil Rakyat hrs nya mewakili aspirasi Rakyat laah iya laa wong mereka Wakil kok Rakyat yg jd Ketua nya doong??? tanyakenapa,wakil rakyat harus nya mewakili aspirasi rakyat laah iya lah wong mereka wakil kok rakyat yang jadi ketua nya doong ? ? tanyakenapa,negative,-0.8458,"['wakil', 'rakyat', 'mewakili', 'aspirasi', 'rakyat', 'laah', 'iya', 'wakil', 'rakyat', 'ketua', 'doong', 'tanyakenapa']",wakil rakyat mewakili aspirasi rakyat laah iya wakil rakyat ketua doong tanyakenapa
3630,2016-05-17T21:59:36.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Perjuangan Henry Yosodiningrat,henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI perjuangan henry yosodiningrat,negative,-0.2808,"['henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi', 'perjuangan', 'henry', 'yosodiningrat']",henry yosodiningrat persen reses fraksi pdi perjuangan henry yosodiningrat
3631,2016-05-17T21:59:25.000Z,News Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Perjuangan Henry newsfeed,news henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI perjuangan henry newsfeed,negative,-0.2808,"['news', 'henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi', 'perjuangan', 'henry', 'newsfeed']",news henry yosodiningrat persen reses fraksi pdi perjuangan henry newsfeed
3632,2016-05-17T21:59:21.000Z,News Henry Yosodiningrat Persen Anggota DPR Ikut Reses newsfeed,news henry yosodiningrat persen anggota DPR ikut reses newsfeed,negative,-0.2023,"['news', 'henry', 'yosodiningrat', 'persen', 'reses', 'newsfeed']",news henry yosodiningrat persen reses newsfeed
3633,2016-05-17T21:59:17.000Z,WartaOnline Henry Yosodiningrat Persen Anggota DPR Ikut Reses,wartaonline henry yosodiningrat persen anggota DPR ikut reses,negative,-0.2023,"['wartaonline', 'henry', 'yosodiningrat', 'persen', 'reses']",wartaonline henry yosodiningrat persen reses
3634,2016-05-17T21:58:44.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Perjuangan Henry Yosodiningrat geram dengan tudingan ku,henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI perjuangan henry yosodiningrat geram dengan tudingan ku,negative,-0.2808,"['henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi', 'perjuangan', 'henry', 'yosodiningrat', 'geram', 'tudingan']",henry yosodiningrat persen reses fraksi pdi perjuangan henry yosodiningrat geram tudingan
3635,2016-05-17T21:58:41.000Z,info Henry Yosodiningrat Persen Anggota DPR Ikut Reses,info henry yosodiningrat persen anggota DPR ikut reses,negative,-0.2023,"['info', 'henry', 'yosodiningrat', 'persen', 'reses']",info henry yosodiningrat persen reses
3636,2016-05-17T21:58:33.000Z,republikId Henry Yosodiningrat Persen Anggota DPR Ikut Reses,republikid henry yosodiningrat persen anggota DPR ikut reses,negative,-0.2023,"['republikid', 'henry', 'yosodiningrat', 'persen', 'reses']",republikid henry yosodiningrat persen reses
3638,2016-05-17T21:58:25.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Perjuangan Henry Y DoyanBerita,henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI perjuangan henry ya doyanberita,negative,-0.2808,"['henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi', 'perjuangan', 'henry', 'doyanberita']",henry yosodiningrat persen reses fraksi pdi perjuangan henry doyanberita
3639,2016-05-17T21:46:02.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak,negative,-0.5267,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak']",singgung pengusaha diduga perkosa anak
3640,2016-05-17T21:40:36.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Per,henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI per,negative,-0.368,"['henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi']",henry yosodiningrat persen reses fraksi pdi
3641,2016-05-17T21:40:00.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses Metro TV News,henry yosodiningrat persen anggota DPR ikut reses metro TV news,negative,-0.368,"['henry', 'yosodiningrat', 'persen', 'reses', 'metro', 'news']",henry yosodiningrat persen reses metro news
3642,2016-05-17T21:39:10.000Z,BeritaIndonesia Henry Yosodiningrat Persen Anggota DPR Ikut Reses Via,beritaindonesia henry yosodiningrat persen anggota DPR ikut reses via,negative,-0.2023,"['beritaindonesia', 'henry', 'yosodiningrat', 'persen', 'reses']",beritaindonesia henry yosodiningrat persen reses
3643,2016-05-17T21:38:50.000Z,catatantanganeza Henry Yosodiningrat Persen Anggota DPR Ikut Reses read more,catatantanganeza henry yosodiningrat persen anggota DPR ikut reses read more,negative,-0.2023,"['catatantanganeza', 'henry', 'yosodiningrat', 'persen', 'reses', 'read', 'more']",catatantanganeza henry yosodiningrat persen reses read more
3644,2016-05-17T21:38:36.000Z,News Henry Yosodiningrat Persen Anggota DPR Ikut Reses Anggota DPR Fraksi PDI Perjuangan Henry Yos TU,news henry yosodiningrat persen anggota DPR ikut reses anggota DPR fraksi PDI perjuangan henry yos ITU,negative,-0.2808,"['news', 'henry', 'yosodiningrat', 'persen', 'reses', 'fraksi', 'pdi', 'perjuangan', 'henry', 'yos']",news henry yosodiningrat persen reses fraksi pdi perjuangan henry yos
3645,2016-05-17T21:38:31.000Z,Henry Yosodiningrat Persen Anggota DPR Ikut Reses TuwitNews,henry yosodiningrat persen anggota DPR ikut reses tuwitnews,negative,-0.2023,"['henry', 'yosodiningrat', 'persen', 'reses', 'tuwitnews']",henry yosodiningrat persen reses tuwitnews
3646,2016-05-17T15:23:06.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak via,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak via,negative,-0.5267,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak']",singgung pengusaha diduga perkosa anak
3651,2016-05-17T11:47:25.000Z,Sah kan RUU ga kasian ma rakyat katanya kerja tuk Rakyat menyenangkan Buktikan ga usah bikin Rakyat susah BUKTI NO TEORI,sah kan RUU tidak kasihan sama rakyat katanya kerja untuk rakyat menyenangkan buktikan tidak usah bikin rakyat susah BUKTI NO TEORI,negative,-0.9405,"['sah', 'kasihan', 'rakyat', 'kerja', 'rakyat', 'menyenangkan', 'buktikan', 'bikin', 'rakyat', 'susah', 'bukti', 'teori']",sah kasihan rakyat kerja rakyat menyenangkan buktikan bikin rakyat susah bukti teori
3666,2016-05-17T06:41:41.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak Partai Kebangkit AkademiRestorasi,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak partai kebangkit akademirestorasi,negative,-0.5267,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak', 'partai', 'kebangkit', 'akademirestorasi']",singgung pengusaha diduga perkosa anak partai kebangkit akademirestorasi
3667,2016-05-17T06:14:51.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak Partai Kebangkitan Bangsa mendukun,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak partai kebangkitan bangsa mendukun,negative,-0.2023,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak', 'partai', 'kebangkitan', 'bangsa', 'mendukun']",singgung pengusaha diduga perkosa anak partai kebangkitan bangsa mendukun
3668,2016-05-17T06:14:42.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak Metro TV News,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak metro TV news,negative,-0.6289,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak', 'metro', 'news']",singgung pengusaha diduga perkosa anak metro news
3669,2016-05-17T06:13:59.000Z,MetroTV Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak,metrotv rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak,negative,-0.5267,"['metrotv', 'singgung', 'pengusaha', 'diduga', 'perkosa', 'anak']",metrotv singgung pengusaha diduga perkosa anak
3670,2016-05-17T06:13:55.000Z,Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak beritanegara,rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak beritanegara,negative,-0.5267,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak', 'beritanegara']",singgung pengusaha diduga perkosa anak beritanegara
3671,2016-05-17T06:13:26.000Z,metro news Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak Partai Kebangkitan Ba,metro news rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak partai kebangkitan ba,negative,-0.2023,"['metro', 'news', 'singgung', 'pengusaha', 'diduga', 'perkosa', 'anak', 'partai', 'kebangkitan']",metro news singgung pengusaha diduga perkosa anak partai kebangkitan
3672,2016-05-17T06:13:12.000Z,RT Rapat Paripurna Anggota DPR Singgung Kasus Pengusaha Diduga Perkosa Anak,RT rapat paripurna anggota DPR singgung kasus pengusaha diduga perkosa anak,negative,-0.6289,"['singgung', 'pengusaha', 'diduga', 'perkosa', 'anak']",singgung pengusaha diduga perkosa anak
3675,2016-05-17T04:23:36.000Z,DPR mendorong Pemerintah untuk memiliki skenario kebijakan untuk antisipasi hal yg tidak diinginkan jika harga minya merosot ParipurnaLive,DPR mendorong pemerintah untuk memiliki skenario kebijakan untuk antisipasi hal yang tidak diinginkan jika harga minya merosot paripurnalive,negative,-0.8743,"['mendorong', 'pemerintah', 'memiliki', 'skenario', 'kebijakan', 'antisipasi', 'harga', 'minya', 'merosot', 'paripurnalive']",mendorong pemerintah memiliki skenario kebijakan antisipasi harga minya merosot paripurnalive
3681,2016-05-17T03:39:20.000Z,Kompas News Pasca Kalah di Munaslub Akom Ditunggu Buka Rapat Paripurna Rencananya Ketua DPR RI Ade Komar,kompas news pasca kalah di munaslub akom ditunggu buka rapat paripurna rencananya ketua DPR RI adek komar,negative,-0.2023,"['kompas', 'news', 'pasca', 'kalah', 'munaslub', 'akom', 'ditunggu', 'buka', 'rencananya', 'ketua', 'adek', 'komar']",kompas news pasca kalah munaslub akom ditunggu buka rencananya ketua adek komar
3696,2016-05-17T02:29:33.000Z,Detik Pekan Reses Anggota DPR Kembali Bersidang Hari ini berita,detik pekan reses anggota DPR kembali bersidang hari ini berita,negative,-0.6369,"['detik', 'pekan', 'reses', 'bersidang', 'berita']",detik pekan reses bersidang berita
3698,2016-05-17T01:09:05.000Z,Undang undang tidak akan memiliki arti bila praktik sosial yang terjadi tidak sesuai,undang undang tidak akan memiliki arti bila praktik sosial yang terjadi tidak sesuai,negative,-0.7762,"['undang', 'undang', 'memiliki', 'arti', 'praktik', 'sosial', 'sesuai']",undang undang memiliki arti praktik sosial sesuai
3702,2016-05-16T15:29:26.000Z,Pernyataan Anggota DPR RI Soal RUU Mihol Lukai Warga NU Surabaya,pernyataan anggota DPR RI soal RUU mihol lukai warga NU surabaya,negative,-0.368,"['pernyataan', 'mihol', 'lukai', 'warga', 'surabaya']",pernyataan mihol lukai warga surabaya
